individual,KC,n_opp,max_time_btw_opp
Stu_02365d6d18080c8a5b623c8e71d21b32,"",,80644
Stu_023a11098fde257dde58196e41359003,"",,40291
Stu_023a11098fde257dde58196e41359003,all,16,69
Stu_023a11098fde257dde58196e41359003,all*Angle-Addition-Subtraction-Reason,7,27
Stu_023a11098fde257dde58196e41359003,all*Angle-Addition-Subtraction-Reason*Concat-Original-noAnswReas-Angle-Addition,7,10041
Stu_023a11098fde257dde58196e41359003,all*Angle-Addition-Subtraction-Reason*Concat-Original-noAnswReas-Angle-Addition-Three-Angles,5,17
Stu_023a11098fde257dde58196e41359003,all*Answer,44,30236
Stu_023a11098fde257dde58196e41359003,all*Answer*Angle-Addition-Subtraction-Answer,7,27
Stu_023a11098fde257dde58196e41359003,all*Answer*Angle-Addition-Subtraction-Answer*Angle-Addition-Three-Angles,5,18
Stu_023a11098fde257dde58196e41359003,all*Answer*Angle-Addition-Subtraction-Answer*Concat-Original-noAnswReas-Angle-Addition,7,10041
Stu_023a11098fde257dde58196e41359003,all*Answer*same-as-given,10,30
Stu_023a11098fde257dde58196e41359003,all*Answer*Separate-Complementary-Angles,6,12
Stu_023a11098fde257dde58196e41359003,all*Answer*Supplementary-Angles,7,31
Stu_023a11098fde257dde58196e41359003,all*Answer*Vertical-Angles-Answer,11,30266
Stu_023a11098fde257dde58196e41359003,all*Answer*Vertical-Angles-Answer*Linear-Pair-Of-Angles_Vertical-Angles,3,1
Stu_023a11098fde257dde58196e41359003,all*complex-arithmetic,7,16
Stu_023a11098fde257dde58196e41359003,all*Concat-geom-config-angles*subtract-from-90,7,29
Stu_023a11098fde257dde58196e41359003,all*Concat-geom-config-parallel-lines,39,10051
Stu_023a11098fde257dde58196e41359003,all*Concat-geom-config-parallel-lines*Alternate-Exterior-Angles-Parallel-Lines-Answer,11,10041
Stu_023a11098fde257dde58196e41359003,all*Concat-geom-config-parallel-lines*Alternate-Exterior-Angles-Parallel-Lines-Reason,11,10041
Stu_023a11098fde257dde58196e41359003,all*Concat-geom-config-parallel-lines*Corresponding-Angles-Parallel-Lines-Answer,9,10047
Stu_023a11098fde257dde58196e41359003,all*Concat-Geom-config-tri-ang-Vertical-Angles-Reason,8,30264
Stu_023a11098fde257dde58196e41359003,all*Exterior-Angle-Of-Triangle-Reason,6,28
Stu_023a11098fde257dde58196e41359003,all*given,128,40292
Stu_023a11098fde257dde58196e41359003,all*given*Answer,128,40292
Stu_023a11098fde257dde58196e41359003,all*Isosceles-Triangle-Base-Base-Angle,5,10100
