Type,Student,Intercept,Slope
Student,Stu_013b3d3a047249ac1433b15ee6002f4e,0.261567306501063,-9.20648695785551e-06
Student,Stu_093228f3b90d3279c992b429fe73c9db,0.0995761367452227,-3.50482029471373e-06
Student,Stu_0ca125e3416870c659cc22b4973cc4b0,0.0618758034836724,-2.17786689552101e-06
Student,Stu_11442f06a04eb9d12879afd7f1f26445,0.156034809505013,-5.49201831794499e-06
Student,Stu_1e27d12339e6928c0e36235787b01f5d,-0.158191070034159,5.56791306452045e-06
Student,Stu_1ec4244d988d277e3afb4fac6880b58a,0.0420959775035514,-1.48166861160476e-06
Student,Stu_31b26db2faa0e4f398d5f64310d625c2,0.754484014490161,-2.6555869432734e-05
Student,Stu_361af3eb70ea69e46a3119af13b6d7bb,0.136676933910414,-4.81067158705018e-06
Student,Stu_38fa1b73a3a8758c0fce113b7e4d6cac,-0.567514178292719,1.99750188612688e-05
Student,Stu_3bea4e3166854c8da25dcca4622ae71e,0.366160519672215,-1.28878952570097e-05
Student,Stu_3cb029c4a9841dbcad68dc5e741c520d,-0.46886814178617,1.65029356690294e-05
Student,Stu_3db8b4b3a3b4910b7b112fe71107a4e8,-0.266124379567401,9.36688404383868e-06
Student,Stu_3ed4d9c485d7ba51770546acbc26e853,0.332416075744485,-1.17001788444485e-05
Student,Stu_44f0654095021e355f402686ca94d462,0.01048496822027,-3.69043534013121e-07
Student,Stu_4528b5983563cf525849da010f909572,-0.151603517300792,5.33604839024136e-06
Student,Stu_4c823e8d41e90e104868383fe95181ac,0.372746370025679,-1.31197000119564e-05
Student,Stu_4c9b00b8ee0c2f54c8833990480743e4,-0.534965278858275,1.88293824966013e-05
Student,Stu_4e162e16d2cad68ba6b31314d5e4d02f,-0.349792749499125,1.23117924380317e-05
Student,Stu_5100bcce267284f982d1748f91f548db,-0.459881492461985,1.61866290521793e-05
Student,Stu_525ba57e49687186ad11044965e3abcf,0.361293469388537,-1.27165877814719e-05
Student,Stu_59e32127218cac649f9379aa0794d6a9,0.509045993268936,-1.79170912476404e-05
Student,Stu_61becea91ff2e792a89fc2dc70b5ec11,-0.166693164285284,5.86716460663595e-06
Student,Stu_633789c559984b53dbf70667e3b2c6db,-0.0192881201524342,6.78891521269742e-07
Student,Stu_66595c68c29f4884ac10be7717579612,0.392032389208139,-1.37985175845629e-05
Student,Stu_67d8211cca82f3eb00796f270ba25a92,-0.00288062598011178,1.01390521128646e-07
Student,Stu_6c6192328b357d91092b543332747c18,0.835839289465453,-2.94193629175734e-05
Student,Stu_6ef498377bb7fb0750cff7b196a4fb9c,0.773499527770852,-2.72251659031433e-05
Student,Stu_6f172169c9afd473931c032c523e8e70,0.158917453597379,-5.59347987136128e-06
Student,Stu_76107643cf1ba1137711abb3efaf0886,0.0740721587306534,-2.60714678916187e-06
Student,Stu_7931bbcfea7a79040c740dedfe10ba39,-0.404481325719809,1.42366876799276e-05
Student,Stu_7cdb160421ea1b03d993870652b0fc20,1.10140405279568,-3.87665499294786e-05
Student,Stu_7d10b2e5f508e37db8f8044f1247d6b7,-0.202144900273023,7.11497324667765e-06
Student,Stu_89fcfd7249c838a6f05343111a287dee,0.00890341731961797,-3.13377067378544e-07
Student,Stu_8bf091aa67852bc7ec5506d842beb55a,-0.0353241876085624,1.24331926977178e-06
Student,Stu_8f986bcb9e3d0cef4f80baf47570c1d0,-0.135559281118329,4.77133312387837e-06
Student,Stu_9066aa316cf0ea556aa81cbb40cd6d26,0.454558452219235,-1.59992719194147e-05
Student,Stu_9254a4a35a96866bbb6f6733a994bed9,0.394619485483831,-1.38895766256926e-05
Student,Stu_953394825d088f60ca502055a42b9a74,1.12492409097188,-3.95943939273161e-05
Student,Stu_9ceb1be5b9b519b558d20f47de34b07d,0.218278917602853,-7.68284857525693e-06
Student,Stu_a00628bf4aab76be649a758dc7440c10,-0.621481501375901,2.18745278739277e-05
Student,Stu_acf9b95b6b42349c76e578878d150d3f,-0.13627075722451,4.79637522711366e-06
Student,Stu_aeaa5bfda5a332e81daab8438f379757,0.177950759091054,-6.26340258126112e-06
Student,Stu_b70d9c63e37cfe4c21addd286daf2227,-0.603734641298489,2.12498846873187e-05
Student,Stu_bb36cf3fb4877ea82a2c0a96d078fb04,-0.542047976597327,1.90786749836222e-05
Student,Stu_bfd5554b4479e84f2d434630a3693d81,-1.03648456241995,3.64815531940309e-05
Student,Stu_c0d937be078b02036d26ce4320c5392e,-1.12746909329603,3.96839713711426e-05
Student,Stu_c1a14c3b178eb2600b01d661c538eedf,0.969429776519514,-3.4121399625482e-05
Student,Stu_c1bf291691d7be205e4581a4a63d777a,0.284472448929123,-1.00126882291559e-05
Student,Stu_c313b431c807d5f9a99653084220100b,0.500025404421291,-1.75995900480871e-05
Student,Stu_c3f4391a44f7245603784185df6e0391,0.266728997197988,-9.3881650074459e-06
Student,Stu_c530848b1d52cb73a60daa58f5ccebaa,-0.623768955926003,2.1955040307855e-05
Student,Stu_c792d22faa773d7cd2dd0ef448d3181c,0.751636487987401,-2.64556439268767e-05
Student,Stu_cb0ee745682d16f6c111aa2491f43058,-0.47262791234209,1.66352697862042e-05
Student,Stu_ce74b012916dd13f95b2f653397b461c,0.279504335460053,-9.83782359308961e-06
Student,Stu_d3e760c651d36d32ebe1afc482b8f84c,-1.82582009949461,6.42641053205146e-05
Student,Stu_db8ee06d42c51df719b1869df41fc3a6,-0.215629224680931,7.58958629544714e-06
Student,Stu_ec24fecf2a50ca93b88844cab7565643,-0.331614499734537,1.1671965459603e-05
Student,Stu_ec7ee2972796262b81cf4179adfdc95a,-0.75205577197386,2.64704016296057e-05
Student,Stu_ed30f08ec5368b4fdcf3aa6761283442,-0.0524352443526741,1.84558383737801e-06
