individual,KC,n_opp,max_time_btw_opp
Stu_010343054192a6eb9a4f98e2dd6aedfb,"",,61507
Stu_010343054192a6eb9a4f98e2dd6aedfb,skill1,77,11790
Stu_010343054192a6eb9a4f98e2dd6aedfb,skill1*estimater,2,7
Stu_010343054192a6eb9a4f98e2dd6aedfb,skill1*interpboxplot,6,759
Stu_010343054192a6eb9a4f98e2dd6aedfb,skill1*interphistogram,2,2
Stu_010343054192a6eb9a4f98e2dd6aedfb,skill1*m1o3,2,152
Stu_010343054192a6eb9a4f98e2dd6aedfb,skill1*m1o4,5,96
Stu_010343054192a6eb9a4f98e2dd6aedfb,skill1*m1o5,2,2
Stu_010343054192a6eb9a4f98e2dd6aedfb,skill1*m3o1,3,1
Stu_040c11b0b5b63cc759261f2838ecaf22,"",,58537
Stu_040c11b0b5b63cc759261f2838ecaf22,skill1,53,12894
Stu_040c11b0b5b63cc759261f2838ecaf22,skill1*interphistogram,2,1
Stu_040c11b0b5b63cc759261f2838ecaf22,skill1*m1o3,2,42
Stu_07fc0122626ee15161a8e506f7ee3fb9,"",,56491
Stu_07fc0122626ee15161a8e506f7ee3fb9,skill1,53,10286
Stu_07fc0122626ee15161a8e506f7ee3fb9,skill1*interphistogram,2,1
Stu_07fc0122626ee15161a8e506f7ee3fb9,skill1*m1o4,3,22
Stu_09e6750d775483785ae364a05734afda,"",,70277
Stu_09e6750d775483785ae364a05734afda,skill1,65,9123
Stu_09e6750d775483785ae364a05734afda,skill1*estimater,3,1449
Stu_09e6750d775483785ae364a05734afda,skill1*interpbarchart,8,1367
Stu_09e6750d775483785ae364a05734afda,skill1*interphistogram,2,1
Stu_09e6750d775483785ae364a05734afda,skill1*m1o3,2,14
Stu_09e6750d775483785ae364a05734afda,skill1*m1o5,5,1
Stu_145b1fb3b08ad678330090aa6dff479b,"",,69887
Stu_145b1fb3b08ad678330090aa6dff479b,skill1,69,12021
Stu_145b1fb3b08ad678330090aa6dff479b,skill1*estimater,3,7
Stu_145b1fb3b08ad678330090aa6dff479b,skill1*m1o3,3,9778
Stu_145b1fb3b08ad678330090aa6dff479b,skill1*m3o1,3,1
Stu_1a9cffd7d7922a893807bf38d73e1da9,"",,57268
Stu_1a9cffd7d7922a893807bf38d73e1da9,skill1,61,10110
Stu_1a9cffd7d7922a893807bf38d73e1da9,skill1*interphistogram,2,2
Stu_21d368eaffc41e04fe81636dc5d6f810,"",,70126
Stu_21d368eaffc41e04fe81636dc5d6f810,skill1,74,21360
Stu_21d368eaffc41e04fe81636dc5d6f810,skill1*estimater,2,4
Stu_21d368eaffc41e04fe81636dc5d6f810,skill1*interpboxplot,6,3
Stu_21d368eaffc41e04fe81636dc5d6f810,skill1*interphistogram,2,1
Stu_21d368eaffc41e04fe81636dc5d6f810,skill1*m1o3,2,42
Stu_21d368eaffc41e04fe81636dc5d6f810,skill1*m1o5,2,1
Stu_26c68c2483b2bfce65c5990c54ca17e2,"",,61606
Stu_26c68c2483b2bfce65c5990c54ca17e2,skill1,67,11504
Stu_26c68c2483b2bfce65c5990c54ca17e2,skill1*estimater,3,4348
Stu_26c68c2483b2bfce65c5990c54ca17e2,skill1*interpbarchart,8,4328
Stu_26c68c2483b2bfce65c5990c54ca17e2,skill1*m1o3,2,86
Stu_2ffea6f0f1a5329c967402c94c1e2e2e,"",,55624
Stu_2ffea6f0f1a5329c967402c94c1e2e2e,skill1,76,13535
Stu_2ffea6f0f1a5329c967402c94c1e2e2e,skill1*estimater,3,11
Stu_2ffea6f0f1a5329c967402c94c1e2e2e,skill1*interpboxplot,4,1
Stu_2ffea6f0f1a5329c967402c94c1e2e2e,skill1*interphistogram,2,2
Stu_2ffea6f0f1a5329c967402c94c1e2e2e,skill1*m1o3,2,6
Stu_2ffea6f0f1a5329c967402c94c1e2e2e,skill1*m1o4,3,532
Stu_2ffea6f0f1a5329c967402c94c1e2e2e,skill1*m1o5,5,3
Stu_2ffea6f0f1a5329c967402c94c1e2e2e,skill1*m3o1,6,9776
Stu_36a0b186d46f7421b8b046eb0e2d3ac0,"",,59024
Stu_36a0b186d46f7421b8b046eb0e2d3ac0,skill1,69,11226
Stu_36a0b186d46f7421b8b046eb0e2d3ac0,skill1*estimater,2,4
Stu_36a0b186d46f7421b8b046eb0e2d3ac0,skill1*interpboxplot,3,1
Stu_36a0b186d46f7421b8b046eb0e2d3ac0,skill1*interphistogram,2,1
Stu_36a0b186d46f7421b8b046eb0e2d3ac0,skill1*m1o3,2,44
Stu_36a0b186d46f7421b8b046eb0e2d3ac0,skill1*m1o4,3,11
Stu_394a3421803c70efc283ba51270a6dd6,"",,72040
Stu_394a3421803c70efc283ba51270a6dd6,skill1,65,69275
Stu_394a3421803c70efc283ba51270a6dd6,skill1*estimater,2,11
Stu_394a3421803c70efc283ba51270a6dd6,skill1*m1o3,2,1286
Stu_394a3421803c70efc283ba51270a6dd6,skill1*m1o5,2,2
Stu_42c1064f34258a0e5d52ba28851a2836,"",,65739
Stu_42c1064f34258a0e5d52ba28851a2836,skill1,52,12327
Stu_5481ec7f807df1a2e091f262acc201b2,"",,57880
Stu_5481ec7f807df1a2e091f262acc201b2,skill1,27,291
Stu_5481ec7f807df1a2e091f262acc201b2,skill1*m1o5,2,1
Stu_607e58d00fdcee3578ef3098b3c9f738,"",,59241
Stu_607e58d00fdcee3578ef3098b3c9f738,skill1,60,17355
Stu_607e58d00fdcee3578ef3098b3c9f738,skill1*interpbarchart,8,17351
Stu_607e58d00fdcee3578ef3098b3c9f738,skill1*interphistogram,2,2
Stu_607e58d00fdcee3578ef3098b3c9f738,skill1*m1o3,3,294
Stu_607e58d00fdcee3578ef3098b3c9f738,skill1*m1o4,3,227
Stu_607e58d00fdcee3578ef3098b3c9f738,skill1*m1o5,2,1
Stu_691fc6f7f03d296f64dc5d87d8c1f7fa,"",,578851
Stu_691fc6f7f03d296f64dc5d87d8c1f7fa,skill1*interpboxplot,5,410378
Stu_694d804fd479142527ba5b999e32d294,"",,57845
Stu_694d804fd479142527ba5b999e32d294,skill1,19,6891
Stu_694d804fd479142527ba5b999e32d294,skill1*interpboxplot,3,1
Stu_6b1c58685cf8920234235f75a0dce30c,"",,48553
Stu_6b1c58685cf8920234235f75a0dce30c,skill1,28,6983
Stu_6c23dc44c51625135ab6062a4ae9735a,"",,56707
Stu_6c23dc44c51625135ab6062a4ae9735a,skill1,47,12766
Stu_6c23dc44c51625135ab6062a4ae9735a,skill1*interphistogram,7,4
Stu_6c23dc44c51625135ab6062a4ae9735a,skill1*m1o3,2,230
Stu_6c23dc44c51625135ab6062a4ae9735a,skill1*m1o4,3,8
Stu_6d4c95214d9b5413a71174e0dde11f13,"",,57483
Stu_6d4c95214d9b5413a71174e0dde11f13,skill1,74,11781
Stu_6d4c95214d9b5413a71174e0dde11f13,skill1*estimater,2,4
Stu_6d4c95214d9b5413a71174e0dde11f13,skill1*interpboxplot,3,1
Stu_6d4c95214d9b5413a71174e0dde11f13,skill1*interphistogram,2,1
Stu_6d4c95214d9b5413a71174e0dde11f13,skill1*m1o3,2,389
Stu_6d4c95214d9b5413a71174e0dde11f13,skill1*m1o4,3,11
Stu_7864cfd01d3073d63ca1f8a395af21f1,"",,38808
Stu_7864cfd01d3073d63ca1f8a395af21f1,skill1,75,17666
Stu_7864cfd01d3073d63ca1f8a395af21f1,skill1*estimater,3,5717
Stu_7864cfd01d3073d63ca1f8a395af21f1,skill1*interpboxplot,3,1
Stu_7864cfd01d3073d63ca1f8a395af21f1,skill1*interphistogram,2,1
Stu_7864cfd01d3073d63ca1f8a395af21f1,skill1*m1o3,2,35
Stu_7864cfd01d3073d63ca1f8a395af21f1,skill1*m1o4,3,10
Stu_7864cfd01d3073d63ca1f8a395af21f1,skill1*m1o5,2,1
Stu_7a2de4c44b31341d536ff8d4ef2b36e3,"",,44387
Stu_7a2de4c44b31341d536ff8d4ef2b36e3,skill1,50,10924
Stu_7a2de4c44b31341d536ff8d4ef2b36e3,skill1*interphistogram,2,2
Stu_7a2de4c44b31341d536ff8d4ef2b36e3,skill1*m1o3,2,286
Stu_7a2de4c44b31341d536ff8d4ef2b36e3,skill1*m1o5,4,6
Stu_7a2de4c44b31341d536ff8d4ef2b36e3,skill1*m3o1,3,1
Stu_81a5f06726b3d28f9eb15473cb4ac511,"",,68741
Stu_81a5f06726b3d28f9eb15473cb4ac511,skill1,74,73366
Stu_81a5f06726b3d28f9eb15473cb4ac511,skill1*estimater,3,66251
Stu_81a5f06726b3d28f9eb15473cb4ac511,skill1*interpbarchart,8,1714
Stu_81a5f06726b3d28f9eb15473cb4ac511,skill1*interphistogram,2,1
Stu_81a5f06726b3d28f9eb15473cb4ac511,skill1*m1o3,2,103
Stu_81a5f06726b3d28f9eb15473cb4ac511,skill1*m1o5,5,5
Stu_860fc5f06c3d0fd9526f38ada5f84d38,"",,57129
Stu_860fc5f06c3d0fd9526f38ada5f84d38,skill1,76,10370
Stu_860fc5f06c3d0fd9526f38ada5f84d38,skill1*estimater,2,9
Stu_860fc5f06c3d0fd9526f38ada5f84d38,skill1*interpboxplot,3,1
Stu_860fc5f06c3d0fd9526f38ada5f84d38,skill1*interphistogram,2,1
Stu_860fc5f06c3d0fd9526f38ada5f84d38,skill1*m1o3,2,51
Stu_860fc5f06c3d0fd9526f38ada5f84d38,skill1*m1o4,3,12
Stu_860fc5f06c3d0fd9526f38ada5f84d38,skill1*m1o5,5,5
Stu_860fc5f06c3d0fd9526f38ada5f84d38,skill1*m3o1,3,1
Stu_8775688f30cd18c02a2c1acb2c5b239c,"",,68377
Stu_8775688f30cd18c02a2c1acb2c5b239c,skill1,16,65234
Stu_8775688f30cd18c02a2c1acb2c5b239c,skill1*interpboxplot,5,65217
Stu_8775688f30cd18c02a2c1acb2c5b239c,skill1*interphistogram,4,65228
Stu_8775688f30cd18c02a2c1acb2c5b239c,skill1*m1o3,4,65226
Stu_8775688f30cd18c02a2c1acb2c5b239c,skill1*m1o4,6,65223
Stu_87f9ab5693737836003983f36afa86ac,"",,67719
Stu_87f9ab5693737836003983f36afa86ac,skill1,69,10072
Stu_87f9ab5693737836003983f36afa86ac,skill1*estimater,2,45
Stu_87f9ab5693737836003983f36afa86ac,skill1*interphistogram,5,4
Stu_87f9ab5693737836003983f36afa86ac,skill1*m1o3,3,34
Stu_87f9ab5693737836003983f36afa86ac,skill1*m1o4,3,5
Stu_87f9ab5693737836003983f36afa86ac,skill1*m1o5,2,1
Stu_87f9ab5693737836003983f36afa86ac,skill1*m3o1,3,5
Stu_8a1c85f6b4abdbf43cc9a5dd3d8aee40,"",,64033
Stu_8a1c85f6b4abdbf43cc9a5dd3d8aee40,skill1,51,12569
Stu_8a1c85f6b4abdbf43cc9a5dd3d8aee40,skill1*interphistogram,2,1
Stu_8b596a3c59f60852a6b6700aa7fa8338,"",,61695
Stu_8b596a3c59f60852a6b6700aa7fa8338,skill1,92,35888
Stu_8b596a3c59f60852a6b6700aa7fa8338,skill1*estimater,3,33269
Stu_8b596a3c59f60852a6b6700aa7fa8338,skill1*interpboxplot,6,34752
Stu_8b596a3c59f60852a6b6700aa7fa8338,skill1*interphistogram,6,35858
Stu_8b596a3c59f60852a6b6700aa7fa8338,skill1*m1o3,5,34749
Stu_8b596a3c59f60852a6b6700aa7fa8338,skill1*m1o4,3,3
Stu_8b596a3c59f60852a6b6700aa7fa8338,skill1*m3o1,6,27344
