individual,KC,n_opp,max_time_btw_opp
Stu_156c50d32cd01fd7157b74520a90602b,"",,90750
Stu_156c50d32cd01fd7157b74520a90602b,Geometry,36,90709
Stu_156c50d32cd01fd7157b74520a90602b,Geometry*DecompArith2-Compose-subgoal,2,7172
Stu_156c50d32cd01fd7157b74520a90602b,Geometry*DecompArith2-Triangle,30,77765
Stu_156c50d32cd01fd7157b74520a90602b,Geometry*DecomposeArith-Compose-by-addition,2,10094
Stu_156c50d32cd01fd7157b74520a90602b,Geometry*Done,45,90741
Stu_156c50d32cd01fd7157b74520a90602b,Geometry*Geometric-Name,64,90749
Stu_156c50d32cd01fd7157b74520a90602b,Geometry*Given-unit-conversion,7,30259
Stu_156c50d32cd01fd7157b74520a90602b,Geometry*Pentagon,46,67678
Stu_156c50d32cd01fd7157b74520a90602b,Geometry*Subtract*Decompose-Compose-by-addition,4,10094
Stu_156c50d32cd01fd7157b74520a90602b,Geometry*Textbook2-Parallelogram,29,10108
Stu_156c50d32cd01fd7157b74520a90602b,Geometry*Triangle-ForB-repeat,19,77746
Stu_156c50d32cd01fd7157b74520a90602b,Geometry*Unit-name,4,53274
Stu_1a7dd50cf418193cddd6f7c03cd0b66d,"",,90734
Stu_1a7dd50cf418193cddd6f7c03cd0b66d,Geometry,17,80637
Stu_1a7dd50cf418193cddd6f7c03cd0b66d,Geometry*DecompArith2-Triangle,29,70569
Stu_1a7dd50cf418193cddd6f7c03cd0b66d,Geometry*DecomposeArith-Compose-by-addition,2,20133
Stu_1a7dd50cf418193cddd6f7c03cd0b66d,Geometry*Done,42,90724
Stu_1a7dd50cf418193cddd6f7c03cd0b66d,Geometry*Geometric-Name,62,90727
Stu_1a7dd50cf418193cddd6f7c03cd0b66d,Geometry*Given-unit-conversion,8,67699
Stu_1a7dd50cf418193cddd6f7c03cd0b66d,Geometry*Pentagon,46,67683
Stu_1a7dd50cf418193cddd6f7c03cd0b66d,Geometry*Subtract*Decompose-Compose-by-addition,4,10080
Stu_1a7dd50cf418193cddd6f7c03cd0b66d,Geometry*Textbook2-Parallelogram,26,20152
Stu_1a7dd50cf418193cddd6f7c03cd0b66d,Geometry*Trapezoid,3,3
Stu_1a7dd50cf418193cddd6f7c03cd0b66d,Geometry*Triangle-ForB-repeat,20,70569
Stu_1a7dd50cf418193cddd6f7c03cd0b66d,Geometry*Unit-name,4,23099
Stu_1ade7e527b4653c3c0401a30ab2a4dfa,"",,40323
Stu_1ade7e527b4653c3c0401a30ab2a4dfa,Geometry,41,33140
Stu_1ade7e527b4653c3c0401a30ab2a4dfa,Geometry*Circle-circumference,2,2861
Stu_1ade7e527b4653c3c0401a30ab2a4dfa,Geometry*Circle-circumference*DecompArithG-Circle-circumference,7,2865
Stu_1ade7e527b4653c3c0401a30ab2a4dfa,Geometry*DecompArith2-Circle-area,17,2877
Stu_1ade7e527b4653c3c0401a30ab2a4dfa,Geometry*DecompArith2-Circle-area*DecompArith2G-Given-unit-conversion,2,2863
Stu_1ade7e527b4653c3c0401a30ab2a4dfa,Geometry*DecompArith2-Compose-subgoal,9,33132
Stu_1ade7e527b4653c3c0401a30ab2a4dfa,Geometry*DecompArith2-Triangle,26,20162
Stu_1ade7e527b4653c3c0401a30ab2a4dfa,Geometry*DecompArith2G-Miscoded-given,11,18
Stu_1ade7e527b4653c3c0401a30ab2a4dfa,Geometry*DecompArith2G-Miscoded-given*Circle-diameter,4,2864
Stu_1ade7e527b4653c3c0401a30ab2a4dfa,Geometry*DecompArithG-Circle-circumference,2,10
Stu_1ade7e527b4653c3c0401a30ab2a4dfa,Geometry*DecompArithG-Circle-diameter,13,2883
Stu_1ade7e527b4653c3c0401a30ab2a4dfa,Geometry*DecomposeArith-Compose-by-addition,4,40302
Stu_1ade7e527b4653c3c0401a30ab2a4dfa,Geometry*Done,62,40326
Stu_1ade7e527b4653c3c0401a30ab2a4dfa,Geometry*Geometric-Name,70,37438
Stu_1ade7e527b4653c3c0401a30ab2a4dfa,Geometry*Given-unit-conversion,5,7194
Stu_1ade7e527b4653c3c0401a30ab2a4dfa,Geometry*Pentagon,27,10098
Stu_1ade7e527b4653c3c0401a30ab2a4dfa,Geometry*Subtract*Decompose-Compose-by-addition,4,7190
Stu_1ade7e527b4653c3c0401a30ab2a4dfa,Geometry*Textbook2-Parallelogram,26,7200
Stu_1ade7e527b4653c3c0401a30ab2a4dfa,Geometry*Trapezoid,13,10074
Stu_1ade7e527b4653c3c0401a30ab2a4dfa,Geometry*Triangle-ForB-repeat,15,20161
Stu_1ade7e527b4653c3c0401a30ab2a4dfa,Geometry*Unit-name,6,4
Stu_1f25ae960ce792324a151b812d4f4c6e,"",,90729
Stu_1f25ae960ce792324a151b812d4f4c6e,Geometry,37,60480
Stu_1f25ae960ce792324a151b812d4f4c6e,Geometry*Circle-circumference*DecompArithG-Circle-circumference,3,3
Stu_1f25ae960ce792324a151b812d4f4c6e,Geometry*DecompArith2-Circle-area,6,13
Stu_1f25ae960ce792324a151b812d4f4c6e,Geometry*DecompArith2-Triangle,21,50388
Stu_1f25ae960ce792324a151b812d4f4c6e,Geometry*DecompArith2G-Miscoded-given*Circle-diameter,2,3
Stu_1f25ae960ce792324a151b812d4f4c6e,Geometry*DecompArithG-Circle-diameter,6,14
Stu_1f25ae960ce792324a151b812d4f4c6e,Geometry*DecomposeArith-Compose-by-addition,2,20148
Stu_1f25ae960ce792324a151b812d4f4c6e,Geometry*Done,45,90742
Stu_1f25ae960ce792324a151b812d4f4c6e,Geometry*Geometric-Name,57,90733
Stu_1f25ae960ce792324a151b812d4f4c6e,Geometry*Given-unit-conversion,5,27369
Stu_1f25ae960ce792324a151b812d4f4c6e,Geometry*Pentagon,33,47522
