Type,KC,Intercept,Slope
Skill,"",1.25639176096352,1.10306046194711e-05
Skill,all,-0.307672603634877,-2.88843309829772e-06
Skill,all*Angle-Addition-Subtraction-Reason,-0.144245954008764,-9.07222836390316e-07
Skill,all*Angle-Addition-Subtraction-Reason*Concat-Original-noAnswReas-Angle-Addition,-0.26403357245908,-2.14009838168074e-06
Skill,all*Angle-Addition-Subtraction-Reason*Concat-Original-noAnswReas-Angle-Addition-Three-Angles,1.18390871348846,1.01893415518184e-05
Skill,all*Answer,-0.455863613985923,-3.56153050283153e-06
Skill,all*Answer*Angle-Addition-Subtraction-Answer,-0.911133882862884,-8.1471309731736e-06
Skill,all*Answer*Angle-Addition-Subtraction-Answer*Angle-Addition-Three-Angles,-0.425805964304623,-3.63209040830818e-06
Skill,all*Answer*Angle-Addition-Subtraction-Answer*Angle-Addition-Three-Angles*Angle-Addition,-1.44915001028044,-1.25194320391176e-05
Skill,all*Answer*Angle-Addition-Subtraction-Answer*Concat-Original-noAnswReas-Angle-Addition,-0.577890599131316,-5.83160969055681e-06
Skill,all*Answer*Concat-Geom-config-tri-ang-Right-Angle-Answer,0.534888364196181,4.6813949490111e-06
Skill,all*Answer*Multiplicative-Relation-Answer,-0.894850687550375,-7.50227444745422e-06
Skill,all*Answer*relations,0.421510791399063,3.52907509394092e-06
Skill,all*Answer*same-as-given,-0.443854939915462,-3.92078168955541e-06
Skill,all*Answer*same-as-given*subtract-from-180,-0.19539037144703,-1.76951356882428e-06
Skill,all*Answer*Separate-Complementary-Angles,-1.32090134105509,-1.13333783787197e-05
Skill,all*Answer*Supplementary-Angles,-0.512404427511053,-4.3223158172519e-06
Skill,all*Answer*Vertical-Angles-Answer,0.0379113261128012,9.34783970456439e-08
Skill,all*Answer*Vertical-Angles-Answer*Linear-Pair-Of-Angles_Vertical-Angles,1.49226512916629,1.28776595833773e-05
Skill,all*complex-arithmetic,0.235834451539975,1.9706665535233e-06
Skill,all*Concat-geom-config-angles,-0.441097866514865,-3.9200369508179e-06
Skill,all*Concat-geom-config-angles*subtract-from-90,-0.265869806970639,-2.36673105641094e-06
Skill,all*Concat-geom-config-parallel-lines,-1.13711683322623,-9.48447945909203e-06
Skill,all*Concat-geom-config-parallel-lines*Alternate-Exterior-Angles-Parallel-Lines-Answer,-0.159233749437304,-1.4174318355865e-06
Skill,all*Concat-geom-config-parallel-lines*Alternate-Exterior-Angles-Parallel-Lines-Reason,-0.668461232187933,-5.74646106271173e-06
Skill,all*Concat-geom-config-parallel-lines*Corresponding-Angles-Parallel-Lines-Answer,-0.413093488324025,-3.61870840002721e-06
Skill,all*Concat-Geom-config-tri-ang-Vertical-Angles-Reason,-0.138846416657957,-1.1396484073378e-06
Skill,all*Exterior-Angle-Of-Triangle-Reason,-0.653800749644698,-5.79438128184828e-06
Skill,all*given,1.98007201851495,1.7253519140752e-05
Skill,all*given*Answer,1.36657364791847,1.17762053049667e-05
Skill,all*Isosceles-Triangle-Base-Base-Angle,-0.202100319617279,-1.56960409758725e-06
Skill,all*Isosceles-Triangle-Base-Base-Angle*complex-arithmetic,0.729615982657474,6.30509985535272e-06
Skill,all*Isosceles-Triangle-Base-Base-Angle*Concat-Original-Isosceles-Triangle-Base-Base-Angle-Answer,1.10852033735781,9.46980572066624e-06
Skill,all*Linear-Pair-Of-Angles,0.990816971991938,8.57819245891772e-06
Skill,all*Linear-Pair-Of-Angles*Concat-geom-config-angles,-0.152068117914671,-3.96310489145258e-07
Skill,all*Linear-Pair-Of-Angles*Triangle-Sum-Reason,-0.339726793253563,-2.91561690962686e-06
Skill,all*relations,0.28959769848328,2.60450271471824e-06
Skill,all*relations*add-subtract,-0.613545734420602,-5.45798405116542e-06
Skill,all*Separate-Complementary-Angles,-0.159246007914885,-1.40840320497492e-06
Skill,all*Supplementary-Angles-Reason,-0.0465548590868228,-2.31159525845052e-07
Skill,all*Triangle-Sum-Reason,0.00927374395823791,-7.3387046670518e-07
Skill,all*Triangle-Sum-Reason*complex-arithmetic,1.08842625504666,9.41253545920383e-06
