individual,KC,n_opp,max_time_btw_opp
Stu_0190513911e6aca06eb29f85e8f35a09,allSkill,13,14
Stu_0190513911e6aca06eb29f85e8f35a09,allSkill*a,3,7
Stu_0190513911e6aca06eb29f85e8f35a09,allSkill*a*study3Spring2010Tutor_default_KC-generic-singular,2,9
Stu_0190513911e6aca06eb29f85e8f35a09,allSkill*number-letter,6,10
Stu_0190513911e6aca06eb29f85e8f35a09,allSkill*number-letter*an,3,4
Stu_0190513911e6aca06eb29f85e8f35a09,allSkill*rule_generic-noncount,5,12
Stu_0190513911e6aca06eb29f85e8f35a09,allSkill*rule_generic-singular,2,10
Stu_0190513911e6aca06eb29f85e8f35a09,allSkill*study3Spring2010Tutor_default_KC-generic-noncount,5,10
Stu_0190513911e6aca06eb29f85e8f35a09,allSkill*the,10,13
Stu_0190513911e6aca06eb29f85e8f35a09,allSkill*the*already-mentioned,5,9
Stu_0190513911e6aca06eb29f85e8f35a09,allSkill*the*study3Spring2010Tutor_default_KC-already-mentioned,5,10
Stu_02ff9f8d66f4f8830e4738b605fa81b8,allSkill,15,9
Stu_02ff9f8d66f4f8830e4738b605fa81b8,allSkill*a,3,5
Stu_02ff9f8d66f4f8830e4738b605fa81b8,allSkill*a*study3Spring2010Tutor_default_KC-generic-singular,2,7
Stu_02ff9f8d66f4f8830e4738b605fa81b8,allSkill*number-letter,6,8
Stu_02ff9f8d66f4f8830e4738b605fa81b8,allSkill*number-letter*an,3,4
Stu_02ff9f8d66f4f8830e4738b605fa81b8,allSkill*study_generic-noncount,5,8
Stu_02ff9f8d66f4f8830e4738b605fa81b8,allSkill*study3Spring2010Tutor_default_KC-generic-noncount,5,7
Stu_02ff9f8d66f4f8830e4738b605fa81b8,allSkill*the,10,9
Stu_02ff9f8d66f4f8830e4738b605fa81b8,allSkill*the*already-mentioned,5,6
Stu_02ff9f8d66f4f8830e4738b605fa81b8,allSkill*the*study3Spring2010Tutor_default_KC-already-mentioned,5,8
Stu_06bcd5fa76ec8f0785a41cde5bb67540,allSkill,15,11
Stu_06bcd5fa76ec8f0785a41cde5bb67540,allSkill*a,3,7
Stu_06bcd5fa76ec8f0785a41cde5bb67540,allSkill*a*study3Spring2010Tutor_default_KC-generic-singular,2,9
Stu_06bcd5fa76ec8f0785a41cde5bb67540,allSkill*number-letter,6,10
Stu_06bcd5fa76ec8f0785a41cde5bb67540,allSkill*number-letter*an,3,4
Stu_06bcd5fa76ec8f0785a41cde5bb67540,allSkill*study_generic-noncount,5,9
Stu_06bcd5fa76ec8f0785a41cde5bb67540,allSkill*study3Spring2010Tutor_default_KC-generic-noncount,5,9
Stu_06bcd5fa76ec8f0785a41cde5bb67540,allSkill*the,10,11
Stu_06bcd5fa76ec8f0785a41cde5bb67540,allSkill*the*already-mentioned,5,7
Stu_06bcd5fa76ec8f0785a41cde5bb67540,allSkill*the*study3Spring2010Tutor_default_KC-already-mentioned,5,10
Stu_07ed4b5ed3ba14dad2ff88d106ecf6ce,allSkill,13,16
Stu_07ed4b5ed3ba14dad2ff88d106ecf6ce,allSkill*a,3,7
Stu_07ed4b5ed3ba14dad2ff88d106ecf6ce,allSkill*a*study3Spring2010Tutor_default_KC-generic-singular,2,11
Stu_07ed4b5ed3ba14dad2ff88d106ecf6ce,allSkill*number-letter,6,12
Stu_07ed4b5ed3ba14dad2ff88d106ecf6ce,allSkill*number-letter*an,3,4
Stu_07ed4b5ed3ba14dad2ff88d106ecf6ce,allSkill*rule_generic-noncount,5,13
Stu_07ed4b5ed3ba14dad2ff88d106ecf6ce,allSkill*rule_generic-singular,2,10
Stu_07ed4b5ed3ba14dad2ff88d106ecf6ce,allSkill*study3Spring2010Tutor_default_KC-generic-noncount,5,12
Stu_07ed4b5ed3ba14dad2ff88d106ecf6ce,allSkill*the,10,15
Stu_07ed4b5ed3ba14dad2ff88d106ecf6ce,allSkill*the*already-mentioned,5,9
Stu_07ed4b5ed3ba14dad2ff88d106ecf6ce,allSkill*the*study3Spring2010Tutor_default_KC-already-mentioned,5,13
Stu_0d05f221b156f7ccf714ca5cfe817f9d,allSkill,15,11
Stu_0d05f221b156f7ccf714ca5cfe817f9d,allSkill*a*study3Spring2010Tutor_default_KC-generic-singular,5,10
Stu_0d05f221b156f7ccf714ca5cfe817f9d,allSkill*number-letter,6,10
Stu_0d05f221b156f7ccf714ca5cfe817f9d,allSkill*number-letter*an*study3Spring2010Tutor_default_KC-number-letter,4,4
Stu_0d05f221b156f7ccf714ca5cfe817f9d,allSkill*study3Spring2010Tutor_default_KC-generic-noncount,10,12
Stu_0d05f221b156f7ccf714ca5cfe817f9d,allSkill*the,10,11
Stu_0d05f221b156f7ccf714ca5cfe817f9d,allSkill*the*study3Spring2010Tutor_default_KC-already-mentioned,10,11
Stu_0e19a995e4349ac4488002e0d8b425a7,allSkill,13,16
Stu_0e19a995e4349ac4488002e0d8b425a7,allSkill*a,3,9
Stu_0e19a995e4349ac4488002e0d8b425a7,allSkill*a*study3Spring2010Tutor_default_KC-generic-singular,2,12
Stu_0e19a995e4349ac4488002e0d8b425a7,allSkill*number-letter,6,13
Stu_0e19a995e4349ac4488002e0d8b425a7,allSkill*number-letter*an,3,5
Stu_0e19a995e4349ac4488002e0d8b425a7,allSkill*rule_generic-noncount,5,15
Stu_0e19a995e4349ac4488002e0d8b425a7,allSkill*rule_generic-singular,2,13
Stu_0e19a995e4349ac4488002e0d8b425a7,allSkill*study3Spring2010Tutor_default_KC-generic-noncount,5,12
Stu_0e19a995e4349ac4488002e0d8b425a7,allSkill*the,10,15
Stu_0e19a995e4349ac4488002e0d8b425a7,allSkill*the*already-mentioned,5,11
Stu_0e19a995e4349ac4488002e0d8b425a7,allSkill*the*study3Spring2010Tutor_default_KC-already-mentioned,5,13
Stu_0ee8852376d3c7ac9b5c372e230a4a54,allSkill,15,19
Stu_0ee8852376d3c7ac9b5c372e230a4a54,allSkill*a,3,12
Stu_0ee8852376d3c7ac9b5c372e230a4a54,allSkill*a*study3Spring2010Tutor_default_KC-generic-singular,2,14
Stu_0ee8852376d3c7ac9b5c372e230a4a54,allSkill*number-letter,6,16
