Type,KC,Intercept,Slope
Skill,response_above,1.23229446019185,-0.425019858032976
Skill,response_abroad,1.43635845478682,-0.236810770568139
Skill,response_address,0.576397589092962,-0.199742609244255
Skill,response_again,0.811456046650851,-0.208317097169751
Skill,response_ai4,0.121500090241067,0.0150670248589358
Skill,response_airport,1.6478862660166,-0.390413978275652
Skill,response_all,0.817886819485273,-0.0469196391999624
Skill,response_ba4ba,1.87738819954033,-0.377206021014067
Skill,response_bai3,0.696850286623988,-0.0848056656005924
Skill,response_ban4,0.470257247119809,-0.0604365595369007
Skill,response_bang4,0.171109637498016,-0.0272002771787137
Skill,response_basketball,1.93683928678563,-0.571150428941571
Skill,response_beautiful,2.29220161217006,-0.483029910030018
Skill,response_before,0.899436894437146,-0.255325066392221
Skill,response_bei1,-0.224581818722042,0.11373906070909
Skill,response_bi3jiao4,-3.11312876047265,0.591532224103593
Skill,response_bi4ye4,-1.03551121864603,0.246407589953913
Skill,response_big,1.55437154574006,-0.240519092468454
Skill,response_birthday,1.03797998532939,-0.139652425260754
Skill,response_book,1.54745049482314,-0.245695389940224
Skill,response_boss,1.88502376062394,-0.386667972881263
Skill,response_bottle,0.933535579914973,-0.0856392469830909
Skill,response_busy,1.65344636605105,-0.357953893526466
Skill,response_cai4,-0.345961854815491,0.0660659041580003
Skill,response_cake,1.49708128504819,-0.469883378886027
Skill,response_car,2.31813828605962,-0.458201777148815
Skill,response_chang2,-0.0309574745076528,-0.0748444657863755
Skill,response_che1,0.729879950745599,-0.162666680969661
Skill,response_chen4shan1,-1.99017122566211,0.398314777453724
Skill,response_cheng2shi4,-2.67567250443209,0.493437376535926
Skill,response_chi1,-0.21685052783112,0.00428358051964101
Skill,response_chu2fang2,-0.947615755234536,0.142344391495501
Skill,response_city,1.53508955430524,-0.454323332682389
Skill,response_coach,1.23315369409218,-0.230543191992034
Skill,response_cola,2.02481301215334,-0.410839030921789
Skill,response_cold,1.40476231475062,-0.182667684504098
Skill,response_college,1.70906983913143,-0.450795943805023
Skill,response_comfortable,1.03421559422981,-0.200653049254039
Skill,response_company,1.32490214640055,-0.292320011925987
Skill,response_computer,1.54184227297702,-0.261242995163079
Skill,response_correct,0.788513932960422,-0.270522616170765
Skill,response_country,1.4814264546092,-0.458821103389955
Skill,response_cup,1.57125710609868,-0.18329007019883
Skill,response_da4,0.778840440676923,-0.113485067608881
Skill,response_da4xue2,-1.91032653887029,0.390438787721381
Skill,response_dan4gao1,-0.997029820390438,0.133648931776895
Skill,response_day,1.14861787025419,-0.263761636724086
