individual,KC,n_opp,max_time_btw_opp
Stu_00534e69904177f44e6e707bdd26d217,all,6,16
Stu_00534e69904177f44e6e707bdd26d217,all*NearBench,6,14
Stu_00534e69904177f44e6e707bdd26d217,all*NearBench*1/10,2,5
Stu_00534e69904177f44e6e707bdd26d217,all*NearBench*1/8,2,7
Stu_00534e69904177f44e6e707bdd26d217,all*NearBench*5/6,2,7
Stu_00534e69904177f44e6e707bdd26d217,all*NearBench*Click,4,10
Stu_00534e69904177f44e6e707bdd26d217,all*NearBench*Click*1/10,2,12
Stu_00534e69904177f44e6e707bdd26d217,all*NearBench*Click*9/10,2,9
Stu_00534e69904177f44e6e707bdd26d217,all*NearBench*Click*NonUnitNearBench,4,8
Stu_00534e69904177f44e6e707bdd26d217,all*NotNear,18,13
Stu_00534e69904177f44e6e707bdd26d217,all*NotNear*1/3,2,12
Stu_00534e69904177f44e6e707bdd26d217,all*NotNear*2/5,2,9
Stu_00534e69904177f44e6e707bdd26d217,all*NotNear*3/7,2,6
Stu_00534e69904177f44e6e707bdd26d217,all*NotNear*5/8,2,8
Stu_00534e69904177f44e6e707bdd26d217,all*NotNear*Click,6,10
Stu_00534e69904177f44e6e707bdd26d217,all*NotNear*Click*3/7,2,11
Stu_00534e69904177f44e6e707bdd26d217,all*NotNear*Click*NonUnitNotNear,14,13
Stu_00534e69904177f44e6e707bdd26d217,all*NotNear*Click*NonUnitNotNear*3/5,2,12
Stu_00534e69904177f44e6e707bdd26d217,all*NotNear*Click*NonUnitNotNear*7/10,2,7
Stu_0086d5c38943e82080c043fd88c53b86,all,6,17
Stu_0086d5c38943e82080c043fd88c53b86,all*NearBench,6,8
Stu_0086d5c38943e82080c043fd88c53b86,all*NearBench*1/10,2,5
Stu_0086d5c38943e82080c043fd88c53b86,all*NearBench*1/8,2,8
Stu_0086d5c38943e82080c043fd88c53b86,all*NearBench*5/6,2,6
Stu_0086d5c38943e82080c043fd88c53b86,all*NearBench*Click,4,4
Stu_0086d5c38943e82080c043fd88c53b86,all*NearBench*Click*1/10,2,3
Stu_0086d5c38943e82080c043fd88c53b86,all*NearBench*Click*9/10,2,3
Stu_0086d5c38943e82080c043fd88c53b86,all*NearBench*Click*NonUnitNearBench,4,3
Stu_0086d5c38943e82080c043fd88c53b86,all*NotNear,18,8
Stu_0086d5c38943e82080c043fd88c53b86,all*NotNear*1/3,2,4
Stu_0086d5c38943e82080c043fd88c53b86,all*NotNear*2/5,2,10
Stu_0086d5c38943e82080c043fd88c53b86,all*NotNear*3/7,2,7
Stu_0086d5c38943e82080c043fd88c53b86,all*NotNear*5/8,2,5
Stu_0086d5c38943e82080c043fd88c53b86,all*NotNear*Click,6,5
Stu_0086d5c38943e82080c043fd88c53b86,all*NotNear*Click*3/7,2,3
Stu_0086d5c38943e82080c043fd88c53b86,all*NotNear*Click*NonUnitNotNear,14,6
Stu_0086d5c38943e82080c043fd88c53b86,all*NotNear*Click*NonUnitNotNear*3/5,2,1
Stu_0086d5c38943e82080c043fd88c53b86,all*NotNear*Click*NonUnitNotNear*7/10,2,4
Stu_05f31b545d425701fb3908cb3ca1d86c,all,6,16
Stu_05f31b545d425701fb3908cb3ca1d86c,all*NearBench,6,8
Stu_05f31b545d425701fb3908cb3ca1d86c,all*NearBench*1/8,2,10
Stu_05f31b545d425701fb3908cb3ca1d86c,all*NearBench*5/6,2,10
