individual,KC,n_opp,mean_time_btw_opp
Stu_030458dc7f5b93604de713b8f0595006,response_address,3,1.5
Stu_030458dc7f5b93604de713b8f0595006,response_ba4ba,2,1
Stu_030458dc7f5b93604de713b8f0595006,response_bai3,2,1
Stu_030458dc7f5b93604de713b8f0595006,response_beautiful,3,1
Stu_030458dc7f5b93604de713b8f0595006,response_book,4,1.33333333333333
Stu_030458dc7f5b93604de713b8f0595006,response_cake,3,1
Stu_030458dc7f5b93604de713b8f0595006,response_cheng2shi4,2,1
Stu_030458dc7f5b93604de713b8f0595006,response_chu2fang2,3,1
Stu_030458dc7f5b93604de713b8f0595006,response_cold,4,1
Stu_030458dc7f5b93604de713b8f0595006,response_comfortable,3,1
Stu_030458dc7f5b93604de713b8f0595006,response_computer,2,1
Stu_030458dc7f5b93604de713b8f0595006,response_cup,3,1
Stu_030458dc7f5b93604de713b8f0595006,response_day,4,1
Stu_030458dc7f5b93604de713b8f0595006,response_dian4ying3,3,1.5
Stu_030458dc7f5b93604de713b8f0595006,response_dish,2,1
Stu_030458dc7f5b93604de713b8f0595006,response_dog,4,1
Stu_030458dc7f5b93604de713b8f0595006,response_dui4,2,1
Stu_030458dc7f5b93604de713b8f0595006,response_engineering,4,1
Stu_030458dc7f5b93604de713b8f0595006,response_four,4,1
Stu_030458dc7f5b93604de713b8f0595006,response_friend,4,1
Stu_030458dc7f5b93604de713b8f0595006,response_gong1ke4,2,1
Stu_030458dc7f5b93604de713b8f0595006,response_happy,4,1
Stu_030458dc7f5b93604de713b8f0595006,response_job,2,1
Stu_030458dc7f5b93604de713b8f0595006,response_middle,3,1
Stu_030458dc7f5b93604de713b8f0595006,response_money,2,1
Stu_030458dc7f5b93604de713b8f0595006,response_ni3,2,1
Stu_030458dc7f5b93604de713b8f0595006,response_night,2,1
Stu_030458dc7f5b93604de713b8f0595006,response_now,2,1
Stu_030458dc7f5b93604de713b8f0595006,response_often,4,1
Stu_030458dc7f5b93604de713b8f0595006,response_one,2,1
Stu_030458dc7f5b93604de713b8f0595006,response_only,4,1
Stu_030458dc7f5b93604de713b8f0595006,response_park,3,1
Stu_030458dc7f5b93604de713b8f0595006,response_relatively,4,1
Stu_030458dc7f5b93604de713b8f0595006,response_rent,2,1
Stu_030458dc7f5b93604de713b8f0595006,response_salesman,4,1.33333333333333
Stu_030458dc7f5b93604de713b8f0595006,response_shirt,4,1
Stu_030458dc7f5b93604de713b8f0595006,response_small,3,1
Stu_030458dc7f5b93604de713b8f0595006,response_soup,2,1
Stu_030458dc7f5b93604de713b8f0595006,response_student,2,1
Stu_030458dc7f5b93604de713b8f0595006,response_summer,3,1
Stu_030458dc7f5b93604de713b8f0595006,response_teacher,4,1
Stu_030458dc7f5b93604de713b8f0595006,response_to+ask,4,1
Stu_030458dc7f5b93604de713b8f0595006,response_to+buy,2,1
Stu_030458dc7f5b93604de713b8f0595006,response_to+call,2,1
Stu_030458dc7f5b93604de713b8f0595006,response_to+cook,3,1
Stu_030458dc7f5b93604de713b8f0595006,response_to+eat,4,1
Stu_030458dc7f5b93604de713b8f0595006,response_to+have,3,1
Stu_030458dc7f5b93604de713b8f0595006,response_to+live,3,1
Stu_030458dc7f5b93604de713b8f0595006,response_to+practice,4,1.33333333333333
Stu_030458dc7f5b93604de713b8f0595006,response_to+smoke,2,1
Stu_030458dc7f5b93604de713b8f0595006,response_to+speak,3,1.5
Stu_030458dc7f5b93604de713b8f0595006,response_to+walk,3,1
Stu_030458dc7f5b93604de713b8f0595006,response_to+want,2,1
Stu_030458dc7f5b93604de713b8f0595006,response_tomorrow,4,1
Stu_030458dc7f5b93604de713b8f0595006,response_train,2,1
Stu_030458dc7f5b93604de713b8f0595006,response_two,2,1
Stu_030458dc7f5b93604de713b8f0595006,response_view,2,1
Stu_030458dc7f5b93604de713b8f0595006,response_warm,4,1
Stu_030458dc7f5b93604de713b8f0595006,response_west,4,1
Stu_030458dc7f5b93604de713b8f0595006,response_where,3,1
Stu_030458dc7f5b93604de713b8f0595006,response_wonderful,2,1
Stu_030458dc7f5b93604de713b8f0595006,response_xiu1xi,3,1.5
Stu_030458dc7f5b93604de713b8f0595006,response_yi1sheng1,2,1
Stu_030458dc7f5b93604de713b8f0595006,response_yi3qian2,2,1
Stu_030458dc7f5b93604de713b8f0595006,response_you2yong3,2,1
Stu_030458dc7f5b93604de713b8f0595006,response_zhe4,2,1
Stu_030458dc7f5b93604de713b8f0595006,response_zou3lu4,3,1
Stu_030458dc7f5b93604de713b8f0595006,response_zuo4,3,1
Stu_032e1ecce3f805b5e3ab3884154068e3,response_abroad,4,1
Stu_032e1ecce3f805b5e3ab3884154068e3,response_address,4,1
Stu_032e1ecce3f805b5e3ab3884154068e3,response_again,4,1.33333333333333
Stu_032e1ecce3f805b5e3ab3884154068e3,response_ai4,3,1.5
Stu_032e1ecce3f805b5e3ab3884154068e3,response_airport,2,1
Stu_032e1ecce3f805b5e3ab3884154068e3,response_all,4,1
Stu_032e1ecce3f805b5e3ab3884154068e3,response_bang4,2,1
Stu_032e1ecce3f805b5e3ab3884154068e3,response_beautiful,3,1.5
Stu_032e1ecce3f805b5e3ab3884154068e3,response_book,4,1
Stu_032e1ecce3f805b5e3ab3884154068e3,response_bottle,4,1
Stu_032e1ecce3f805b5e3ab3884154068e3,response_cheng2shi4,2,1
Stu_032e1ecce3f805b5e3ab3884154068e3,response_comfortable,4,1
Stu_032e1ecce3f805b5e3ab3884154068e3,response_company,2,1
Stu_032e1ecce3f805b5e3ab3884154068e3,response_correct,3,1
Stu_032e1ecce3f805b5e3ab3884154068e3,response_cup,3,1.5
Stu_032e1ecce3f805b5e3ab3884154068e3,response_da4xue2,2,1
Stu_032e1ecce3f805b5e3ab3884154068e3,response_dian4hua4,2,1
Stu_032e1ecce3f805b5e3ab3884154068e3,response_difficult,2,1
Stu_032e1ecce3f805b5e3ab3884154068e3,response_dish,3,1
Stu_032e1ecce3f805b5e3ab3884154068e3,response_doctor,2,1
Stu_032e1ecce3f805b5e3ab3884154068e3,response_father,3,1
Stu_032e1ecce3f805b5e3ab3884154068e3,response_few,2,1
Stu_032e1ecce3f805b5e3ab3884154068e3,response_good,3,1
Stu_032e1ecce3f805b5e3ab3884154068e3,response_happy,3,1.5
Stu_032e1ecce3f805b5e3ab3884154068e3,response_homework,2,1
Stu_032e1ecce3f805b5e3ab3884154068e3,response_hundred,3,1.5
Stu_032e1ecce3f805b5e3ab3884154068e3,response_hungry,2,1
Stu_032e1ecce3f805b5e3ab3884154068e3,response_jiao4lian4,2,1
Stu_032e1ecce3f805b5e3ab3884154068e3,response_jie4shao4,2,1
Stu_032e1ecce3f805b5e3ab3884154068e3,response_job,2,1
Stu_032e1ecce3f805b5e3ab3884154068e3,response_kitchen,4,1
Stu_032e1ecce3f805b5e3ab3884154068e3,response_letter,3,1.5
Stu_032e1ecce3f805b5e3ab3884154068e3,response_man4,3,1.5
Stu_032e1ecce3f805b5e3ab3884154068e3,response_mang2,3,1.5
Stu_032e1ecce3f805b5e3ab3884154068e3,response_map,4,1
Stu_032e1ecce3f805b5e3ab3884154068e3,response_mister,3,1
Stu_032e1ecce3f805b5e3ab3884154068e3,response_money,4,1.33333333333333
Stu_032e1ecce3f805b5e3ab3884154068e3,response_night,4,1
Stu_032e1ecce3f805b5e3ab3884154068e3,response_now,2,1
Stu_032e1ecce3f805b5e3ab3884154068e3,response_opportunity,4,1.33333333333333
Stu_032e1ecce3f805b5e3ab3884154068e3,response_peng2you,2,1
Stu_032e1ecce3f805b5e3ab3884154068e3,response_rent,2,1
Stu_032e1ecce3f805b5e3ab3884154068e3,response_room,2,1
Stu_032e1ecce3f805b5e3ab3884154068e3,response_shang4bian1,3,1.5
Stu_032e1ecce3f805b5e3ab3884154068e3,response_small,4,1.33333333333333
Stu_032e1ecce3f805b5e3ab3884154068e3,response_soup,4,1.33333333333333
Stu_032e1ecce3f805b5e3ab3884154068e3,response_table,4,1
Stu_032e1ecce3f805b5e3ab3884154068e3,response_teacher,2,1
Stu_032e1ecce3f805b5e3ab3884154068e3,response_to+buy,3,1
Stu_032e1ecce3f805b5e3ab3884154068e3,response_to+call,3,1.5
Stu_032e1ecce3f805b5e3ab3884154068e3,response_to+cook,3,1
Stu_032e1ecce3f805b5e3ab3884154068e3,response_to+cough,2,1
Stu_032e1ecce3f805b5e3ab3884154068e3,response_to+do,2,1
Stu_032e1ecce3f805b5e3ab3884154068e3,response_to+eat,2,1
Stu_032e1ecce3f805b5e3ab3884154068e3,response_to+graduate,2,1
Stu_032e1ecce3f805b5e3ab3884154068e3,response_to+have,4,1.33333333333333
Stu_032e1ecce3f805b5e3ab3884154068e3,response_to+smoke,4,1.33333333333333
Stu_032e1ecce3f805b5e3ab3884154068e3,response_to+walk+2,3,1
Stu_032e1ecce3f805b5e3ab3884154068e3,response_train,4,1
Stu_032e1ecce3f805b5e3ab3884154068e3,response_upstairs,2,1
Stu_032e1ecce3f805b5e3ab3884154068e3,response_view,4,1.33333333333333
Stu_032e1ecce3f805b5e3ab3884154068e3,response_warm,4,1.33333333333333
Stu_032e1ecce3f805b5e3ab3884154068e3,response_weekdays,3,1
Stu_032e1ecce3f805b5e3ab3884154068e3,response_west,2,1
Stu_032e1ecce3f805b5e3ab3884154068e3,response_where,2,1
Stu_032e1ecce3f805b5e3ab3884154068e3,response_years,2,1
Stu_032e1ecce3f805b5e3ab3884154068e3,response_yi1,2,1
Stu_032e1ecce3f805b5e3ab3884154068e3,response_zhong1jian1,3,1.5
Stu_032e1ecce3f805b5e3ab3884154068e3,response_zhu4,2,1
Stu_032e1ecce3f805b5e3ab3884154068e3,response_zou3,2,1
Stu_049e05a8f6b3b5eb958721e6c5cfe75a,response_address,3,1.5
Stu_049e05a8f6b3b5eb958721e6c5cfe75a,response_again,2,1
Stu_049e05a8f6b3b5eb958721e6c5cfe75a,response_airport,4,1
Stu_049e05a8f6b3b5eb958721e6c5cfe75a,response_before,3,1
Stu_049e05a8f6b3b5eb958721e6c5cfe75a,response_book,3,1
Stu_049e05a8f6b3b5eb958721e6c5cfe75a,response_boss,2,1
Stu_049e05a8f6b3b5eb958721e6c5cfe75a,response_bottle,4,1
Stu_049e05a8f6b3b5eb958721e6c5cfe75a,response_busy,2,1
Stu_049e05a8f6b3b5eb958721e6c5cfe75a,response_cake,3,1
Stu_049e05a8f6b3b5eb958721e6c5cfe75a,response_city,4,1.33333333333333
Stu_049e05a8f6b3b5eb958721e6c5cfe75a,response_cold,4,1
Stu_049e05a8f6b3b5eb958721e6c5cfe75a,response_college,2,1
Stu_049e05a8f6b3b5eb958721e6c5cfe75a,response_correct,4,1.33333333333333
Stu_049e05a8f6b3b5eb958721e6c5cfe75a,response_country,2,1
Stu_049e05a8f6b3b5eb958721e6c5cfe75a,response_cup,4,1
Stu_049e05a8f6b3b5eb958721e6c5cfe75a,response_day,2,1
Stu_049e05a8f6b3b5eb958721e6c5cfe75a,response_dian4nao3,2,1
Stu_049e05a8f6b3b5eb958721e6c5cfe75a,response_dish,4,1
Stu_049e05a8f6b3b5eb958721e6c5cfe75a,response_dog,3,1
Stu_049e05a8f6b3b5eb958721e6c5cfe75a,response_engineering,2,1
Stu_049e05a8f6b3b5eb958721e6c5cfe75a,response_father,3,1.5
Stu_049e05a8f6b3b5eb958721e6c5cfe75a,response_four,4,1
Stu_049e05a8f6b3b5eb958721e6c5cfe75a,response_good,3,1.5
Stu_049e05a8f6b3b5eb958721e6c5cfe75a,response_hen3,2,1
Stu_049e05a8f6b3b5eb958721e6c5cfe75a,response_homework,4,1
Stu_049e05a8f6b3b5eb958721e6c5cfe75a,response_hundred,3,1
Stu_049e05a8f6b3b5eb958721e6c5cfe75a,response_huo3che1,2,1
Stu_049e05a8f6b3b5eb958721e6c5cfe75a,response_jian4,3,1
Stu_049e05a8f6b3b5eb958721e6c5cfe75a,response_kitchen,2,1
Stu_049e05a8f6b3b5eb958721e6c5cfe75a,response_lan2qiu2,2,1
Stu_049e05a8f6b3b5eb958721e6c5cfe75a,response_letter,2,1
Stu_049e05a8f6b3b5eb958721e6c5cfe75a,response_mai3,2,1
Stu_049e05a8f6b3b5eb958721e6c5cfe75a,response_mister,2,1
Stu_049e05a8f6b3b5eb958721e6c5cfe75a,response_money,4,1.33333333333333
Stu_049e05a8f6b3b5eb958721e6c5cfe75a,response_movie,4,1
Stu_049e05a8f6b3b5eb958721e6c5cfe75a,response_name,4,1
Stu_049e05a8f6b3b5eb958721e6c5cfe75a,response_nan2,2,1
Stu_049e05a8f6b3b5eb958721e6c5cfe75a,response_nar3,3,1
Stu_049e05a8f6b3b5eb958721e6c5cfe75a,response_nian2,3,1
Stu_049e05a8f6b3b5eb958721e6c5cfe75a,response_night,2,1
Stu_049e05a8f6b3b5eb958721e6c5cfe75a,response_one,3,1
Stu_049e05a8f6b3b5eb958721e6c5cfe75a,response_opportunity,2,1
Stu_049e05a8f6b3b5eb958721e6c5cfe75a,response_peng2you,2,1
Stu_049e05a8f6b3b5eb958721e6c5cfe75a,response_phone,4,1
Stu_049e05a8f6b3b5eb958721e6c5cfe75a,response_red,4,1.33333333333333
Stu_049e05a8f6b3b5eb958721e6c5cfe75a,response_relatively,2,1
Stu_049e05a8f6b3b5eb958721e6c5cfe75a,response_rent,4,1
Stu_049e05a8f6b3b5eb958721e6c5cfe75a,response_salesman,3,1
