individual,KC,n_opp,mean_time_btw_opp
Stu_049e05a8f6b3b5eb958721e6c5cfe75a,response_sheng1huo2,2,1
Stu_049e05a8f6b3b5eb958721e6c5cfe75a,response_shirt,3,1.5
Stu_049e05a8f6b3b5eb958721e6c5cfe75a,response_slow,2,1
Stu_049e05a8f6b3b5eb958721e6c5cfe75a,response_summer,3,1
Stu_049e05a8f6b3b5eb958721e6c5cfe75a,response_table,4,1
Stu_049e05a8f6b3b5eb958721e6c5cfe75a,response_time,4,1
Stu_049e05a8f6b3b5eb958721e6c5cfe75a,response_to+ask,2,1
Stu_049e05a8f6b3b5eb958721e6c5cfe75a,response_to+cough,3,1.5
Stu_049e05a8f6b3b5eb958721e6c5cfe75a,response_to+do,2,1
Stu_049e05a8f6b3b5eb958721e6c5cfe75a,response_to+graduate,4,1.33333333333333
Stu_049e05a8f6b3b5eb958721e6c5cfe75a,response_to+rest,3,1.5
Stu_049e05a8f6b3b5eb958721e6c5cfe75a,response_to+swim,4,1.33333333333333
Stu_049e05a8f6b3b5eb958721e6c5cfe75a,response_to+want,2,1
Stu_049e05a8f6b3b5eb958721e6c5cfe75a,response_today,2,1
Stu_049e05a8f6b3b5eb958721e6c5cfe75a,response_tomorrow,2,1
Stu_049e05a8f6b3b5eb958721e6c5cfe75a,response_view,3,1
Stu_049e05a8f6b3b5eb958721e6c5cfe75a,response_wen4ti2,2,1
Stu_049e05a8f6b3b5eb958721e6c5cfe75a,response_which,2,1
Stu_049e05a8f6b3b5eb958721e6c5cfe75a,response_wonderful,4,1.33333333333333
Stu_049e05a8f6b3b5eb958721e6c5cfe75a,response_xia4yu3,2,1
Stu_049e05a8f6b3b5eb958721e6c5cfe75a,response_xian4zai4,3,1
Stu_049e05a8f6b3b5eb958721e6c5cfe75a,response_xue2sheng,3,1.5
Stu_080fe8f22a7b88dbda214761b6760364,response_above,2,1
Stu_080fe8f22a7b88dbda214761b6760364,response_address,3,1
Stu_080fe8f22a7b88dbda214761b6760364,response_all,2,1
Stu_080fe8f22a7b88dbda214761b6760364,response_beautiful,2,1
Stu_080fe8f22a7b88dbda214761b6760364,response_before,2,1
Stu_080fe8f22a7b88dbda214761b6760364,response_bei1,3,1
Stu_080fe8f22a7b88dbda214761b6760364,response_big,3,1
Stu_080fe8f22a7b88dbda214761b6760364,response_book,2,1
Stu_080fe8f22a7b88dbda214761b6760364,response_car,2,1
Stu_080fe8f22a7b88dbda214761b6760364,response_coach,2,1
Stu_080fe8f22a7b88dbda214761b6760364,response_company,3,1.5
Stu_080fe8f22a7b88dbda214761b6760364,response_computer,4,1
Stu_080fe8f22a7b88dbda214761b6760364,response_correct,4,1
Stu_080fe8f22a7b88dbda214761b6760364,response_country,2,1
Stu_080fe8f22a7b88dbda214761b6760364,response_difficult,3,1.5
Stu_080fe8f22a7b88dbda214761b6760364,response_dog,2,1
Stu_080fe8f22a7b88dbda214761b6760364,response_engineering,3,1
Stu_080fe8f22a7b88dbda214761b6760364,response_few,3,2
Stu_080fe8f22a7b88dbda214761b6760364,response_gong1ke4,3,1
Stu_080fe8f22a7b88dbda214761b6760364,response_good,2,1
Stu_080fe8f22a7b88dbda214761b6760364,response_guo2wai4,2,1
Stu_080fe8f22a7b88dbda214761b6760364,response_hai3bian1,2,1
Stu_080fe8f22a7b88dbda214761b6760364,response_hundred,4,1.33333333333333
Stu_080fe8f22a7b88dbda214761b6760364,response_jian4,3,1.5
Stu_080fe8f22a7b88dbda214761b6760364,response_jing3se4,2,1
Stu_080fe8f22a7b88dbda214761b6760364,response_job,4,1.33333333333333
Stu_080fe8f22a7b88dbda214761b6760364,response_ke3le4,2,1
Stu_080fe8f22a7b88dbda214761b6760364,response_kitchen,3,1.5
Stu_080fe8f22a7b88dbda214761b6760364,response_lao3shi1,2,1
Stu_080fe8f22a7b88dbda214761b6760364,response_li3bian1,3,1.5
Stu_080fe8f22a7b88dbda214761b6760364,response_money,4,1
Stu_080fe8f22a7b88dbda214761b6760364,response_movie,2,1
Stu_080fe8f22a7b88dbda214761b6760364,response_name,4,1
Stu_080fe8f22a7b88dbda214761b6760364,response_nar3,3,1.5
Stu_080fe8f22a7b88dbda214761b6760364,response_new,2,1
Stu_080fe8f22a7b88dbda214761b6760364,response_now,4,1.33333333333333
Stu_080fe8f22a7b88dbda214761b6760364,response_often,3,1
Stu_080fe8f22a7b88dbda214761b6760364,response_opportunity,4,1
Stu_080fe8f22a7b88dbda214761b6760364,response_red,2,1
Stu_080fe8f22a7b88dbda214761b6760364,response_rent,4,1.33333333333333
Stu_080fe8f22a7b88dbda214761b6760364,response_room,2,1
Stu_080fe8f22a7b88dbda214761b6760364,response_salesman,3,1.5
Stu_080fe8f22a7b88dbda214761b6760364,response_sheng1huo2,2,1
Stu_080fe8f22a7b88dbda214761b6760364,response_small,4,1.33333333333333
Stu_080fe8f22a7b88dbda214761b6760364,response_soup,2,1
Stu_080fe8f22a7b88dbda214761b6760364,response_this,4,1.33333333333333
Stu_080fe8f22a7b88dbda214761b6760364,response_ticket,4,1
Stu_080fe8f22a7b88dbda214761b6760364,response_to+call,3,1.5
Stu_080fe8f22a7b88dbda214761b6760364,response_to+cook,4,1.33333333333333
Stu_080fe8f22a7b88dbda214761b6760364,response_to+eat,2,1
Stu_080fe8f22a7b88dbda214761b6760364,response_to+graduate,4,1.66666666666667
Stu_080fe8f22a7b88dbda214761b6760364,response_to+have,4,1.33333333333333
Stu_080fe8f22a7b88dbda214761b6760364,response_to+live,3,1.5
Stu_080fe8f22a7b88dbda214761b6760364,response_to+love,3,1.5
Stu_080fe8f22a7b88dbda214761b6760364,response_to+practice,4,1.66666666666667
Stu_080fe8f22a7b88dbda214761b6760364,response_to+rain,3,1.5
Stu_080fe8f22a7b88dbda214761b6760364,response_to+rest,2,1
Stu_080fe8f22a7b88dbda214761b6760364,response_to+swim,4,1.66666666666667
Stu_080fe8f22a7b88dbda214761b6760364,response_to+walk,4,1.33333333333333
Stu_080fe8f22a7b88dbda214761b6760364,response_train,2,1
Stu_080fe8f22a7b88dbda214761b6760364,response_upstairs,3,1.5
Stu_080fe8f22a7b88dbda214761b6760364,response_very,2,1
Stu_080fe8f22a7b88dbda214761b6760364,response_weekdays,4,1.33333333333333
Stu_080fe8f22a7b88dbda214761b6760364,response_wen4ti2,2,1
Stu_080fe8f22a7b88dbda214761b6760364,response_which,4,1
Stu_080fe8f22a7b88dbda214761b6760364,response_wonderful,2,1
Stu_080fe8f22a7b88dbda214761b6760364,response_xi1yan1,2,1
Stu_080fe8f22a7b88dbda214761b6760364,response_xia4,2,1
Stu_080fe8f22a7b88dbda214761b6760364,response_yi1sheng1,2,1
Stu_080fe8f22a7b88dbda214761b6760364,response_you,3,1.5
Stu_0b174d7bee3983723f70e122ba287cc7,response_abroad,3,1
Stu_0b174d7bee3983723f70e122ba287cc7,response_again,4,1.33333333333333
Stu_0b174d7bee3983723f70e122ba287cc7,response_ban4,2,1
Stu_0b174d7bee3983723f70e122ba287cc7,response_basketball,3,2
Stu_0b174d7bee3983723f70e122ba287cc7,response_before,2,1
Stu_0b174d7bee3983723f70e122ba287cc7,response_boss,3,2
Stu_0b174d7bee3983723f70e122ba287cc7,response_bottle,3,1
Stu_0b174d7bee3983723f70e122ba287cc7,response_cake,4,1.66666666666667
Stu_0b174d7bee3983723f70e122ba287cc7,response_chi1,3,1
Stu_0b174d7bee3983723f70e122ba287cc7,response_cola,2,1
Stu_0b174d7bee3983723f70e122ba287cc7,response_cold,4,1.33333333333333
Stu_0b174d7bee3983723f70e122ba287cc7,response_comfortable,2,1
Stu_0b174d7bee3983723f70e122ba287cc7,response_day,3,1.5
Stu_0b174d7bee3983723f70e122ba287cc7,response_di4zhi3,2,1
Stu_0b174d7bee3983723f70e122ba287cc7,response_dian4nao3,3,1.5
Stu_0b174d7bee3983723f70e122ba287cc7,response_dish,2,1
Stu_0b174d7bee3983723f70e122ba287cc7,response_doctor,3,1.5
Stu_0b174d7bee3983723f70e122ba287cc7,response_dou1,2,1
Stu_0b174d7bee3983723f70e122ba287cc7,response_dui4,2,1
Stu_0b174d7bee3983723f70e122ba287cc7,response_fang2zu1,2,1
Stu_0b174d7bee3983723f70e122ba287cc7,response_friend,4,1
Stu_0b174d7bee3983723f70e122ba287cc7,response_good,4,1.66666666666667
Stu_0b174d7bee3983723f70e122ba287cc7,response_guo2,3,1
Stu_0b174d7bee3983723f70e122ba287cc7,response_hai3bian1,2,1
Stu_0b174d7bee3983723f70e122ba287cc7,response_homework,4,1.66666666666667
Stu_0b174d7bee3983723f70e122ba287cc7,response_hundred,4,1.33333333333333
Stu_0b174d7bee3983723f70e122ba287cc7,response_hungry,4,1
Stu_0b174d7bee3983723f70e122ba287cc7,response_kitchen,4,1
Stu_0b174d7bee3983723f70e122ba287cc7,response_kuai4,2,1
Stu_0b174d7bee3983723f70e122ba287cc7,response_letter,2,1
Stu_0b174d7bee3983723f70e122ba287cc7,response_mei3li4,3,1.5
Stu_0b174d7bee3983723f70e122ba287cc7,response_middle,2,1
Stu_0b174d7bee3983723f70e122ba287cc7,response_money,4,1
Stu_0b174d7bee3983723f70e122ba287cc7,response_one,4,1.33333333333333
Stu_0b174d7bee3983723f70e122ba287cc7,response_park,2,1
Stu_0b174d7bee3983723f70e122ba287cc7,response_person,3,1
Stu_0b174d7bee3983723f70e122ba287cc7,response_problem,4,1.66666666666667
Stu_0b174d7bee3983723f70e122ba287cc7,response_red,4,1
Stu_0b174d7bee3983723f70e122ba287cc7,response_shao3,2,1
Stu_0b174d7bee3983723f70e122ba287cc7,response_sheng1huo2,2,1
Stu_0b174d7bee3983723f70e122ba287cc7,response_small,2,1
Stu_0b174d7bee3983723f70e122ba287cc7,response_teacher,3,1
Stu_0b174d7bee3983723f70e122ba287cc7,response_ticket,4,1
Stu_0b174d7bee3983723f70e122ba287cc7,response_to+ask,4,1.33333333333333
Stu_0b174d7bee3983723f70e122ba287cc7,response_to+buy,2,1
Stu_0b174d7bee3983723f70e122ba287cc7,response_to+call,4,1
Stu_0b174d7bee3983723f70e122ba287cc7,response_to+cook,2,1
Stu_0b174d7bee3983723f70e122ba287cc7,response_to+cough,4,1.33333333333333
Stu_0b174d7bee3983723f70e122ba287cc7,response_to+do,3,1
Stu_0b174d7bee3983723f70e122ba287cc7,response_to+have,2,1
Stu_0b174d7bee3983723f70e122ba287cc7,response_to+live,4,1
Stu_0b174d7bee3983723f70e122ba287cc7,response_to+love,3,1
Stu_0b174d7bee3983723f70e122ba287cc7,response_to+practice,4,1.33333333333333
Stu_0b174d7bee3983723f70e122ba287cc7,response_to+rest,3,1.5
Stu_0b174d7bee3983723f70e122ba287cc7,response_to+return,2,1
Stu_0b174d7bee3983723f70e122ba287cc7,response_to+see,2,1
Stu_0b174d7bee3983723f70e122ba287cc7,response_to+smoke,4,1
Stu_0b174d7bee3983723f70e122ba287cc7,response_to+swim,3,1.5
Stu_0b174d7bee3983723f70e122ba287cc7,response_to+walk,3,1.5
Stu_0b174d7bee3983723f70e122ba287cc7,response_view,2,1
Stu_0b174d7bee3983723f70e122ba287cc7,response_warm,2,1
Stu_0b174d7bee3983723f70e122ba287cc7,response_weekdays,3,1.5
Stu_0b174d7bee3983723f70e122ba287cc7,response_west,2,1
Stu_0b174d7bee3983723f70e122ba287cc7,response_what,3,1
Stu_0b174d7bee3983723f70e122ba287cc7,response_wonderful,2,1
Stu_0b174d7bee3983723f70e122ba287cc7,response_yao4,3,1.5
Stu_0b174d7bee3983723f70e122ba287cc7,response_years,2,1
Stu_0b174d7bee3983723f70e122ba287cc7,response_you,2,1
Stu_0b174d7bee3983723f70e122ba287cc7,response_zhe4,2,1
Stu_0d2c371498ec2851baba189c6d56d702,response_again,2,1
Stu_0d2c371498ec2851baba189c6d56d702,response_birthday,2,1
Stu_0d2c371498ec2851baba189c6d56d702,response_book,3,1
Stu_0d2c371498ec2851baba189c6d56d702,response_boss,2,1
Stu_0d2c371498ec2851baba189c6d56d702,response_busy,2,1
Stu_0d2c371498ec2851baba189c6d56d702,response_cake,4,1.33333333333333
Stu_0d2c371498ec2851baba189c6d56d702,response_car,2,1
Stu_0d2c371498ec2851baba189c6d56d702,response_city,4,1.33333333333333
Stu_0d2c371498ec2851baba189c6d56d702,response_coach,2,1
Stu_0d2c371498ec2851baba189c6d56d702,response_cola,3,1.5
Stu_0d2c371498ec2851baba189c6d56d702,response_college,4,1.66666666666667
Stu_0d2c371498ec2851baba189c6d56d702,response_comfortable,3,1.5
Stu_0d2c371498ec2851baba189c6d56d702,response_company,4,1.33333333333333
Stu_0d2c371498ec2851baba189c6d56d702,response_correct,2,1
Stu_0d2c371498ec2851baba189c6d56d702,response_da4,2,1
Stu_0d2c371498ec2851baba189c6d56d702,response_day,3,1.5
Stu_0d2c371498ec2851baba189c6d56d702,response_dian4hua4,2,1
Stu_0d2c371498ec2851baba189c6d56d702,response_dian4yuan2,3,1.5
Stu_0d2c371498ec2851baba189c6d56d702,response_difficult,3,1
Stu_0d2c371498ec2851baba189c6d56d702,response_dog,4,1.33333333333333
Stu_0d2c371498ec2851baba189c6d56d702,response_e4,2,1
Stu_0d2c371498ec2851baba189c6d56d702,response_four,2,1
Stu_0d2c371498ec2851baba189c6d56d702,response_gong1ke4,3,1.5
Stu_0d2c371498ec2851baba189c6d56d702,response_half,2,1
Stu_0d2c371498ec2851baba189c6d56d702,response_happy,4,1.33333333333333
Stu_0d2c371498ec2851baba189c6d56d702,response_jian4,3,1.5
Stu_0d2c371498ec2851baba189c6d56d702,response_job,4,1.33333333333333
Stu_0d2c371498ec2851baba189c6d56d702,response_kitchen,2,1
Stu_0d2c371498ec2851baba189c6d56d702,response_life,3,1.5
Stu_0d2c371498ec2851baba189c6d56d702,response_man4,2,1
Stu_0d2c371498ec2851baba189c6d56d702,response_map,4,1.33333333333333
Stu_0d2c371498ec2851baba189c6d56d702,response_mei3li4,2,1
Stu_0d2c371498ec2851baba189c6d56d702,response_middle,2,1
Stu_0d2c371498ec2851baba189c6d56d702,response_ming2zi,3,1.5
Stu_0d2c371498ec2851baba189c6d56d702,response_mister,3,1.5
Stu_0d2c371498ec2851baba189c6d56d702,response_na3,3,1.5
Stu_0d2c371498ec2851baba189c6d56d702,response_nar3,2,1
Stu_0d2c371498ec2851baba189c6d56d702,response_new,3,1.5
Stu_0d2c371498ec2851baba189c6d56d702,response_night,4,1.66666666666667
