individual,KC,n_opp,mean_time_btw_opp
Stu_05ab66fb59c3daeaf6de4f1149cf5f9c,COMPO-PARALLEL-AXIS,13,41.9090909090909
Stu_05ab66fb59c3daeaf6de4f1149cf5f9c,COMPO-ZERO-VECTOR,2,28
Stu_05ab66fb59c3daeaf6de4f1149cf5f9c,DEFINE-CONSTANT-CHARGE-ON-OBJ-VAR,4,32.6666666666667
Stu_05ab66fb59c3daeaf6de4f1149cf5f9c,DEFINE-CONSTANT-MASS,3,35
Stu_05ab66fb59c3daeaf6de4f1149cf5f9c,DRAW-BODY,4,35.3333333333333
Stu_05ab66fb59c3daeaf6de4f1149cf5f9c,DRAW-DISPLACEMENT-STRAIGHT,2,19
Stu_05ab66fb59c3daeaf6de4f1149cf5f9c,DRAW-EFIELD-VECTOR,4,36.3333333333333
Stu_05ab66fb59c3daeaf6de4f1149cf5f9c,DRAW-ELECTRIC-FORCE-GIVEN-FIELD-DIR,4,33
Stu_05ab66fb59c3daeaf6de4f1149cf5f9c,DRAW-ROTATE-AXES,2,11
Stu_05ab66fb59c3daeaf6de4f1149cf5f9c,DRAW-UNROTATED-AXES,2,14
Stu_05ab66fb59c3daeaf6de4f1149cf5f9c,DRAW-VELOCITY-AT-REST,1,1
Stu_05ab66fb59c3daeaf6de4f1149cf5f9c,DRAW-WEIGHT,2,49
Stu_05ab66fb59c3daeaf6de4f1149cf5f9c,WRITE-CHARGE-FORCE-EFIELD-COMPO,2,4
Stu_05ab66fb59c3daeaf6de4f1149cf5f9c,WRITE-CHARGE-FORCE-EFIELD-MAG,3,51.5
Stu_05ab66fb59c3daeaf6de4f1149cf5f9c,WRITE-G-ON-EARTH,2,34
Stu_05ab66fb59c3daeaf6de4f1149cf5f9c,WRITE-IMPLICIT-EQN,2,9
Stu_05ab66fb59c3daeaf6de4f1149cf5f9c,WRITE-KNOWN-VALUE-EQN,5,45
Stu_05ab66fb59c3daeaf6de4f1149cf5f9c,WRITE-LK-NO-T-COMPO,2,14
Stu_05ab66fb59c3daeaf6de4f1149cf5f9c,WRITE-NFL-COMPO,2,13
Stu_05ab66fb59c3daeaf6de4f1149cf5f9c,WRITE-NSL-COMPO,3,29.5
Stu_074024a6c97f627f288ae28e86c37bf3,COMPO-PARALLEL-AXIS,6,37
Stu_074024a6c97f627f288ae28e86c37bf3,DEFINE-CONSTANT-CHARGE-ON-OBJ-VAR,4,26
Stu_074024a6c97f627f288ae28e86c37bf3,DEFINE-CONSTANT-MASS,3,24
Stu_074024a6c97f627f288ae28e86c37bf3,DRAW-BODY,4,26.6666666666667
Stu_074024a6c97f627f288ae28e86c37bf3,DRAW-EFIELD-VECTOR,4,27.6666666666667
Stu_074024a6c97f627f288ae28e86c37bf3,DRAW-ELECTRIC-FORCE-GIVEN-FIELD-DIR,3,53.5
Stu_074024a6c97f627f288ae28e86c37bf3,DRAW-ROTATE-AXES,2,10
Stu_074024a6c97f627f288ae28e86c37bf3,DRAW-WEIGHT,2,42
