individual,KC,n_opp,max_time_btw_opp
Stu_01f2efdaa6829c6bdbe4127200e3e5c4,0,190,10077
Stu_01f2efdaa6829c6bdbe4127200e3e5c4,compare_comparison,9,23
Stu_01f2efdaa6829c6bdbe4127200e3e5c4,denominator_addition,8,10
Stu_01f2efdaa6829c6bdbe4127200e3e5c4,denominator_comparison,8,22
Stu_01f2efdaa6829c6bdbe4127200e3e5c4,denominator_equivalentConc,17,4245
Stu_01f2efdaa6829c6bdbe4127200e3e5c4,denominator_equivalentProc,6,7
Stu_01f2efdaa6829c6bdbe4127200e3e5c4,denominator_makeFract,22,22
Stu_01f2efdaa6829c6bdbe4127200e3e5c4,denominator_makeImpFract,24,16
Stu_01f2efdaa6829c6bdbe4127200e3e5c4,denominator_nameFract,30,1342
Stu_01f2efdaa6829c6bdbe4127200e3e5c4,denominator_nameImpFract,24,22
Stu_01f2efdaa6829c6bdbe4127200e3e5c4,denominator_recUnit,3,2
Stu_01f2efdaa6829c6bdbe4127200e3e5c4,denominator_subtraction,8,26
Stu_01f2efdaa6829c6bdbe4127200e3e5c4,dragPiece_makeFract,6,8
Stu_01f2efdaa6829c6bdbe4127200e3e5c4,dragPiece_makeImpFract,3,14
Stu_01f2efdaa6829c6bdbe4127200e3e5c4,makeFract_addition,5,6
Stu_01f2efdaa6829c6bdbe4127200e3e5c4,makeFract_comparison,3,5
Stu_01f2efdaa6829c6bdbe4127200e3e5c4,makeFract_equivalentConc,9,4243
Stu_01f2efdaa6829c6bdbe4127200e3e5c4,makeFract_equivalentProc,7,1409
Stu_01f2efdaa6829c6bdbe4127200e3e5c4,makeFract_makeFract,3,14
Stu_01f2efdaa6829c6bdbe4127200e3e5c4,makeFract_subtraction,3,9
Stu_01f2efdaa6829c6bdbe4127200e3e5c4,mix_addition,32,1446
Stu_01f2efdaa6829c6bdbe4127200e3e5c4,mix_comparison,8,1
Stu_01f2efdaa6829c6bdbe4127200e3e5c4,mix_equivalentConc,16,7
Stu_01f2efdaa6829c6bdbe4127200e3e5c4,mix_equivalentProc,16,5
Stu_01f2efdaa6829c6bdbe4127200e3e5c4,mix_makeFract,16,5
Stu_01f2efdaa6829c6bdbe4127200e3e5c4,mix_makeImpFract,32,4
Stu_01f2efdaa6829c6bdbe4127200e3e5c4,mix_nameFract,16,8
Stu_01f2efdaa6829c6bdbe4127200e3e5c4,mix_nameImpFract,32,4
Stu_01f2efdaa6829c6bdbe4127200e3e5c4,mix_recUnit,40,1461
Stu_01f2efdaa6829c6bdbe4127200e3e5c4,mix_subtraction,32,4
Stu_01f2efdaa6829c6bdbe4127200e3e5c4,multiply_equivalentConc,12,5
Stu_01f2efdaa6829c6bdbe4127200e3e5c4,numerator_addition,16,11
Stu_01f2efdaa6829c6bdbe4127200e3e5c4,numerator_comparison,8,21
Stu_01f2efdaa6829c6bdbe4127200e3e5c4,numerator_equivalentConc,19,4245
Stu_01f2efdaa6829c6bdbe4127200e3e5c4,numerator_equivalentProc,6,7
Stu_01f2efdaa6829c6bdbe4127200e3e5c4,numerator_makeFract,15,20
Stu_01f2efdaa6829c6bdbe4127200e3e5c4,numerator_makeImpFract,20,15
Stu_01f2efdaa6829c6bdbe4127200e3e5c4,numerator_nameFract,22,1342
Stu_01f2efdaa6829c6bdbe4127200e3e5c4,numerator_nameImpFract,23,22
Stu_01f2efdaa6829c6bdbe4127200e3e5c4,numerator_recUnit,3,4
Stu_01f2efdaa6829c6bdbe4127200e3e5c4,numerator_subtraction,16,27
Stu_01f2efdaa6829c6bdbe4127200e3e5c4,SE_addition_addition,2,2
Stu_01f2efdaa6829c6bdbe4127200e3e5c4,SE_addition_subtraction,2,3
Stu_01f2efdaa6829c6bdbe4127200e3e5c4,SE_comparison_comparison,6,25
Stu_01f2efdaa6829c6bdbe4127200e3e5c4,SE_comparison_makeFract,12,8
Stu_01f2efdaa6829c6bdbe4127200e3e5c4,SE_comparison_nameFract,19,1340
Stu_01f2efdaa6829c6bdbe4127200e3e5c4,SE_denominator_addition,4,11
Stu_01f2efdaa6829c6bdbe4127200e3e5c4,SE_denominator_subtraction,4,26
Stu_01f2efdaa6829c6bdbe4127200e3e5c4,SE_equivalence_comparison,3,19
Stu_01f2efdaa6829c6bdbe4127200e3e5c4,SE_equivalence_equivalentConc,24,4246
Stu_01f2efdaa6829c6bdbe4127200e3e5c4,SE_equivalence_equivalentProc,4,6
Stu_01f2efdaa6829c6bdbe4127200e3e5c4,SE_findUnit_makeFract,4,3
Stu_01f2efdaa6829c6bdbe4127200e3e5c4,SE_findUnit_recUnit,4,2
Stu_01f2efdaa6829c6bdbe4127200e3e5c4,SE_numerator_addition,4,11
Stu_01f2efdaa6829c6bdbe4127200e3e5c4,SE_numerator_subtraction,4,26
Stu_01f2efdaa6829c6bdbe4127200e3e5c4,unit_addition,8,11
Stu_01f2efdaa6829c6bdbe4127200e3e5c4,unit_nameFract,2,1322
