"Dataset","Type","KC","Intercept","Slope"
"ds115","KC","response_chu2fang2","-1.01062197865747","0.195440898591423"
"ds115","KC","response_city","1.50628878567033","-0.420061577652392"
"ds115","KC","response_coach","1.16027108203071","-0.228958534637057"
"ds115","KC","response_cola","1.98915985899903","-0.418454277437903"
"ds115","KC","response_cold","1.4168501228595","-0.280488323600232"
"ds115","KC","response_college","1.69088029479752","-0.424741132480741"
"ds115","KC","response_comfortable","0.996080397893116","-0.247493737143597"
"ds115","KC","response_company","1.32101616964265","-0.309831620051233"
"ds115","KC","response_computer","1.49738234691666","-0.279819529690165"
"ds115","KC","response_correct","0.660672941829062","-0.180016291024373"
"ds115","KC","response_country","1.38717646454793","-0.367763999503781"
"ds115","KC","response_cup","1.42831250973312","-0.199819410751879"
"ds115","KC","response_da4","0.772234717487685","-0.129746237317723"
"ds115","KC","response_da4xue2","-1.83409886230986","0.393555977112167"
"ds115","KC","response_dan4gao1","-1.00434361735449","0.185774845028114"
"ds115","KC","response_day","1.13402555185053","-0.270227105914665"
"ds115","KC","response_di4tu2","-1.72554227662048","0.39096608224891"
"ds115","KC","response_di4zhi3","-3.14272538774495","0.652974751744874"
"ds115","KC","response_dian4hua4","-1.92344804879822","0.414698847243616"
"ds115","KC","response_dian4nao3","-1.76100743605908","0.373905147003236"
"ds115","KC","response_dian4ying3","-2.52935809018511","0.537949580481974"
"ds115","KC","response_dian4yuan2","-2.29196435299094","0.490346046008861"
"ds115","KC","response_difficult","1.93289767789738","-0.433856953710886"
"ds115","KC","response_dish","0.756325204452204","-0.22387582969435"
"ds115","KC","response_doctor","2.21051876382588","-0.467329841397445"
"ds115","KC","response_dog","3.20086932768022","-0.650576249986765"
"ds115","KC","response_dou1","-0.907909476522504","0.202667029085819"
"ds115","KC","response_dui4","-1.54687870907447","0.332123148535397"
"ds115","KC","response_e4","0.611069951166706","-0.135388813555991"
"ds115","KC","response_engineering","1.73674361680682","-0.367905780557678"
"ds115","KC","response_fang2jian1","-1.9887037865963","0.456856061643845"
"ds115","KC","response_fang2zu1","-2.0425465868426","0.429659729559543"
"ds115","KC","response_fast","1.17688193497585","-0.228634124940865"
"ds115","KC","response_father","4.18006961939974","-0.867537382549198"
"ds115","KC","response_few","0.980685576507979","-0.246776083253309"
"ds115","KC","response_four","1.87863520670818","-0.362160725047647"
"ds115","KC","response_friend","1.80479677424885","-0.431996788176136"
"ds115","KC","response_gong1cheng2","-1.57540220302822","0.322163420199071"
"ds115","KC","response_gong1ke4","-2.17298481173659","0.473049008341971"
"ds115","KC","response_gong1si1","-1.24704283647404","0.268784509627775"
"ds115","KC","response_gong1yuan2","-2.37002299983708","0.505943251114499"
"ds115","KC","response_gong1zuo4","-2.02260340338007","0.442970821321046"
"ds115","KC","response_good","1.07481459912732","-0.18195516816498"
"ds115","KC","response_gou3","-0.0844220843335076","-0.0053107137866611"
"ds115","KC","response_guo2","0.406494892135208","-0.0608305541768157"
"ds115","KC","response_guo2wai4","-1.27840868024753","0.297130641779998"
"ds115","KC","response_hai3bian1","-1.63533778641611","0.343158844760703"
"ds115","KC","response_half","1.08306756218423","-0.314634243532718"
"ds115","KC","response_hao3","0.042976058157837","0.0164310577129735"
"ds115","KC","response_happy","1.20282719685847","-0.256828357312249"
"ds115","KC","response_hen3","-0.208182047823804","0.0112132526101829"
"ds115","KC","response_homework","1.70673014027606","-0.354634727578093"
"ds115","KC","response_hong2","0.23419664520478","-0.0394884347102075"
"ds115","KC","response_hui2","-0.65800734480266","0.128154252765339"
"ds115","KC","response_hundred","1.0922561097818","-0.175271615736458"
"ds115","KC","response_hungry","1.16764732626112","-0.219553947383587"
"ds115","KC","response_huo3che1","-2.5705357788272","0.563610526656258"
"ds115","KC","response_inside","0.831514371800679","-0.205676423913201"
"ds115","KC","response_ji1chang3","-3.22112872155061","0.669303749879034"
"ds115","KC","response_jian4","-0.514347203197586","0.136919301147727"
"ds115","KC","response_jiao4","-0.616727473439383","0.14563141481553"
"ds115","KC","response_jiao4lian4","-1.61212298444181","0.317571146465964"
"ds115","KC","response_jin1tian1","-1.52223647453719","0.33452832014974"
"ds115","KC","response_jing3se4","-2.50888119544939","0.515019129723467"
"ds115","KC","response_job","0.872660565978276","-0.198088097737599"
"ds115","KC","response_ke2sou4","-2.14539611948078","0.467733164651583"
"ds115","KC","response_ke3le4","-0.998869718635268","0.217633574936857"
"ds115","KC","response_kitchen","2.06674723491867","-0.414676903842923"
"ds115","KC","response_kuai4","-1.68567596719549","0.387276985510516"
"ds115","KC","response_lan2qiu2","-2.65884549041891","0.560579722270097"
"ds115","KC","response_lao3ban3","-1.97124327521369","0.426476850240872"
"ds115","KC","response_lao3shi1","-1.78832923742602","0.40851009904922"
"ds115","KC","response_leng3","-0.0731263942102606","0.0389368597689099"
"ds115","KC","response_letter","0.469306278035989","-0.045083755602585"
"ds115","KC","response_li3bian1","-2.70326019352778","0.557354584615324"
"ds115","KC","response_lian4xi2","-2.24753019762971","0.47055618862416"
"ds115","KC","response_liang3","-0.108533509929698","0.0455271796747771"
"ds115","KC","response_life","0.767387034734317","-0.13276956286384"
"ds115","KC","response_lou2shang4","-1.93708812136984","0.433220208362769"
"ds115","KC","response_mai3","0.0476801627378062","-0.0185685940822335"
"ds115","KC","response_man4","0.427035995617144","-0.0865338756072844"
"ds115","KC","response_mang2","-0.299495269041474","0.0330763548176771"
"ds115","KC","response_map","1.11324893926182","-0.227034729445534"
"ds115","KC","response_mei3li4","-1.51849558728389","0.337100682881483"
"ds115","KC","response_middle","1.21179570942324","-0.298837400957626"
"ds115","KC","response_ming2tian1","-2.08428938975087","0.454331792705572"
"ds115","KC","response_ming2zi","-1.35258950296226","0.339773588082311"
"ds115","KC","response_mister","1.4147831888484","-0.365630940135922"
"ds115","KC","response_money","1.76990360177782","-0.365681445080948"
"ds115","KC","response_movie","1.36482998428527","-0.324075337937858"
"ds115","KC","response_na3","-0.101186911696494","0.0350987287121221"
"ds115","KC","response_name","0.923664479284592","-0.195224118240922"
"ds115","KC","response_nan2","0.145104938098269","0.00774670115335178"
"ds115","KC","response_nar3","0.621463123031838","-0.107825883419788"
"ds115","KC","response_new","0.977205359967177","-0.0937783996196808"
"ds115","KC","response_ni3","0.469593297618832","-0.093882319888014"
"ds115","KC","response_nian2","-1.49578669217517","0.359950008113748"
"ds115","KC","response_night","0.533177991477485","-0.0772405984321294"
"ds115","KC","response_now","-0.122852195449644","-0.00391367427370833"
"ds115","KC","response_nuan3huo","-2.49795174145917","0.535175416351863"
"ds115","KC","response_often","0.536572071755305","-0.117323718645423"
"ds115","KC","response_one","2.2203751767613","-0.423225875079798"
"ds115","KC","response_only","0.204919674357676","-0.0898434984112525"
"ds115","KC","response_opportunity","0.85426146582284","-0.334768269485027"
"ds115","KC","response_park","0.982095637256911","-0.190829806493783"
"ds115","KC","response_peng2you","-0.0103589361246838","0.0194292707457194"
"ds115","KC","response_person","2.1649713947614","-0.39362248351901"
"ds115","KC","response_phone","0.513016538641429","-0.144949832497815"
"ds115","KC","response_piao4","0.208829608955785","-0.0218054763403668"
