"Dataset","Type","KC","Intercept","Slope"
"ds115","KC","response_above","1.17509955364484","-0.336955405732184"
"ds115","KC","response_abroad","1.38104128498144","-0.246573702008897"
"ds115","KC","response_address","0.446617208200434","-0.0962065313717887"
"ds115","KC","response_again","0.766564533480878","-0.196361448694843"
"ds115","KC","response_ai4","0.113790153977521","0.00727801030401863"
"ds115","KC","response_airport","1.59361985088779","-0.372753451021212"
"ds115","KC","response_all","0.77650501121527","-0.125863784092206"
"ds115","KC","response_bai3","0.74465171765509","-0.136264999990074"
"ds115","KC","response_ban4","0.411666357237226","-0.0625062805196741"
"ds115","KC","response_basketball","1.9051213601933","-0.486245623509122"
"ds115","KC","response_beautiful","2.33996317889812","-0.534753217426877"
"ds115","KC","response_before","0.879977577662516","-0.27899409984332"
"ds115","KC","response_bei1","-0.205467318530526","0.0876855533156306"
"ds115","KC","response_bi3jiao4","-2.98357518038533","0.621451071921884"
"ds115","KC","response_bi4ye4","-0.983523756710072","0.229542931506381"
"ds115","KC","response_big","1.56304209593254","-0.306892300549377"
"ds115","KC","response_birthday","0.946054651928784","-0.146633186749341"
"ds115","KC","response_book","1.46063728826758","-0.249494185747409"
"ds115","KC","response_boss","1.88877125571385","-0.42018196634682"
"ds115","KC","response_bottle","0.859045110804381","-0.137632752772114"
"ds115","KC","response_busy","1.6266561496568","-0.355949909922627"
"ds115","KC","response_cai4","-0.380167770768787","0.0949707722979581"
"ds115","KC","response_cake","1.48879679145599","-0.438792431261708"
"ds115","KC","response_car","2.31111346504438","-0.477141647026224"
"ds115","KC","response_chang2","-0.0194473017448995","-0.0378916797541699"
"ds115","KC","response_che1","0.742422617629945","-0.164668090067471"
"ds115","KC","response_chen4shan1","-1.97313255022506","0.42047113070738"
"ds115","KC","response_cheng2shi4","-2.67204242802651","0.545486700313385"
"ds115","KC","response_chi1","-0.211243652876764","0.0250708573841885"
"ds115","KC","response_chu2fang2","-1.0018182676194","0.193055823872085"
"ds115","KC","response_city","1.50449654883292","-0.418442247725423"
"ds115","KC","response_coach","1.15856133424616","-0.226238919714749"
"ds115","KC","response_cola","1.9879378473863","-0.413652410994926"
"ds115","KC","response_cold","1.4115836104848","-0.277215087042497"
"ds115","KC","response_college","1.68692067410988","-0.420458919215265"
"ds115","KC","response_comfortable","0.99608299043651","-0.243350357912472"
"ds115","KC","response_company","1.32017368823828","-0.310661112156924"
"ds115","KC","response_computer","1.49704043298153","-0.279261863099597"
"ds115","KC","response_correct","0.651451499374181","-0.178880635994253"
"ds115","KC","response_country","1.38418945017721","-0.363216122216"
"ds115","KC","response_cup","1.42744610735114","-0.198279482883147"
"ds115","KC","response_da4","0.766943117461924","-0.128507930094476"
"ds115","KC","response_da4xue2","-1.83618927633797","0.391903647613122"
"ds115","KC","response_dan4gao1","-0.998839629601826","0.184804983996258"
"ds115","KC","response_day","1.13682818709935","-0.263555827222526"
"ds115","KC","response_di4tu2","-1.72553568826537","0.389439102384924"
"ds115","KC","response_di4zhi3","-3.13324073615558","0.648654413323623"
"ds115","KC","response_dian4hua4","-1.92195202048336","0.412133001865311"
"ds115","KC","response_dian4nao3","-1.77572717051761","0.374514542336358"
"ds115","KC","response_dian4ying3","-2.52838270069938","0.535512319679469"
"ds115","KC","response_dian4yuan2","-2.29611907451756","0.488998897615459"
"ds115","KC","response_difficult","1.93269696858186","-0.426199086181998"
"ds115","KC","response_dish","0.75335345935061","-0.218707909426269"
"ds115","KC","response_doctor","2.20927431873765","-0.465249393260928"
"ds115","KC","response_dog","3.20583113184037","-0.649783198329505"
"ds115","KC","response_dou1","-0.912369522573845","0.203670527515576"
"ds115","KC","response_dui4","-1.54632094190545","0.330186395095125"
"ds115","KC","response_e4","0.599330234899818","-0.132403561464651"
"ds115","KC","response_engineering","1.73516234014194","-0.360482055132358"
"ds115","KC","response_fang2jian1","-1.99484399635822","0.455521475038178"
"ds115","KC","response_fang2zu1","-2.02098499404737","0.424926011485077"
"ds115","KC","response_fast","1.17553462660738","-0.219685432399653"
"ds115","KC","response_father","4.18138936880838","-0.863567059251952"
"ds115","KC","response_few","0.975502308953497","-0.246713711357416"
"ds115","KC","response_four","1.88411905730347","-0.356796882055524"
"ds115","KC","response_friend","1.8040485561227","-0.429319296851918"
"ds115","KC","response_gong1cheng2","-1.57603093307313","0.32158702777215"
"ds115","KC","response_gong1ke4","-2.17527849090649","0.471124226152405"
